  Year     Age    lx        dx        qx        Lx        Tx       ex
  1900      0   100000    11969    0.11969    92047    5829031    58.29
  1900      1    88031     2694    0.03061    86683    5736984    65.17
  1900      2    85336     1270    0.01488    84701    5650300    66.21
  1900      3    84066      850    0.01011    83641    5565599    66.21
  1900      4    83216      684    0.00822    82874    5481958    65.88
  1900      5    82532      483    0.00585    82290    5399084    65.42
  1900      6    82049      351    0.00428    81873    5316794    64.80
  1900      7    81697      250    0.00306    81572    5234921    64.08
  1900      8    81447      189    0.00232    81353    5153348    63.27
  1900      9    81258      151    0.00186    81183    5071996    62.42
  1900     10    81107      164    0.00203    81025    4990813    61.53
  1900     11    80943      160    0.00198    80863    4909788    60.66
  1900     12    80783      157    0.00195    80705    4828925    59.78
  1900     13    80626      183    0.00227    80534    4748221    58.89
  1900     14    80443      187    0.00233    80349    4667687    58.03
  1900     15    80255      205    0.00256    80152    4587338    57.16
  1900     16    80050      243    0.00304    79928    4507185    56.30
  1900     17    79806      290    0.00364    79661    4427257    55.47
  1900     18    79516      624    0.00785    79204    4347596    54.68
  1900     19    78892      408    0.00517    78688    4268392    54.10
  1900     20    78484      420    0.00535    78274    4189704    53.38
  1900     21    78064      357    0.00458    77885    4111430    52.67
  1900     22    77707      363    0.00467    77525    4033545    51.91
  1900     23    77344      370    0.00479    77158    3956020    51.15
  1900     24    76973      363    0.00471    76792    3878862    50.39
  1900     25    76611      365    0.00476    76428    3802070    49.63
  1900     26    76246      371    0.00487    76060    3725642    48.86
  1900     27    75875      347    0.00458    75701    3649582    48.10
  1900     28    75527      356    0.00472    75349    3573881    47.32
  1900     29    75171      358    0.00476    74992    3498531    46.54
  1900     30    74813      333    0.00444    74647    3423539    45.76
  1900     31    74481      333    0.00447    74314    3348892    44.96
  1900     32    74148      320    0.00432    73987    3274578    44.16
  1900     33    73827      315    0.00426    73670    3200591    43.35
  1900     34    73513      321    0.00436    73352    3126921    42.54
  1900     35    73192      335    0.00458    73024    3053568    41.72
