"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1968"	"1968"	"< 1 year"	"1"	32237	1705238	1890.5
	"1968"	"1968"	"1-4 years"	"1-4"	5761	7140000	80.7
	"1968"	"1968"	"5-9 years"	"5-9"	3674	10024000	36.7
	"1968"	"1968"	"10-14 years"	"10-14"	3016	9990000	30.2
	"1968"	"1968"	"15-19 years"	"15-19"	5436	9013000	60.3
	"1968"	"1968"	"20-24 years"	"20-24"	5751	7847000	73.3
	"1968"	"1968"	"25-34 years"	"25-34"	12448	12114000	102.8
	"1968"	"1968"	"35-44 years"	"35-44"	28880	12123000	238.2
	"1968"	"1968"	"45-54 years"	"45-54"	62056	11733000	528.9
	"1968"	"1968"	"55-64 years"	"55-64"	106987	9500000	1126.2
	"1968"	"1968"	"65-74 years"	"65-74"	182610	6812000	2680.7
	"1968"	"1968"	"75-84 years"	"75-84"	246331	3530000	6978.2
	"1968"	"1968"	"85+ years"	"85+"	147400	800000	18425.0
	"1968"	"1968"	"Not Stated"	"NS"	275	Not Applicable	Not Applicable
"Total"	"1968"	"1968"			842862	102331238	823.7
	"1969"	"1969"	"< 1 year"	"1"	31793	1753634	1813.0
	"1969"	"1969"	"1-4 years"	"1-4"	5498	6852000	80.2
	"1969"	"1969"	"5-9 years"	"5-9"	3566	9932000	35.9
	"1969"	"1969"	"10-14 years"	"10-14"	3135	10128000	31.0
	"1969"	"1969"	"15-19 years"	"15-19"	5825	9234000	63.1
	"1969"	"1969"	"20-24 years"	"20-24"	6093	8187000	74.4
	"1969"	"1969"	"25-34 years"	"25-34"	12789	12464000	102.6
	"1969"	"1969"	"35-44 years"	"35-44"	28316	11947000	237.0
	"1969"	"1969"	"45-54 years"	"45-54"	61076	11906000	513.0
	"1969"	"1969"	"55-64 years"	"55-64"	105939	9678000	1094.6
	"1969"	"1969"	"65-74 years"	"65-74"	180578	6905000	2615.2
	"1969"	"1969"	"75-84 years"	"75-84"	246015	3631000	6775.4
	"1969"	"1969"	"85+ years"	"85+"	150182	848000	17710.1
	"1969"	"1969"	"Not Stated"	"NS"	259	Not Applicable	Not Applicable
"Total"	"1969"	"1969"			841064	103465634	812.9
	"1970"	"1970"	"< 1 year"	"1"	31820	1816008	1752.2
	"1970"	"1970"	"1-4 years"	"1-4"	5054	6701476	75.4
	"1970"	"1970"	"5-9 years"	"5-9"	3347	9787751	34.2
	"1970"	"1970"	"10-14 years"	"10-14"	3009	10198731	29.5
	"1970"	"1970"	"15-19 years"	"15-19"	5822	9436501	61.7
	"1970"	"1970"	"20-24 years"	"20-24"	6363	8453752	75.3
	"1970"	"1970"	"25-34 years"	"25-34"	12894	12690072	101.6
