"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1968"	"1968"	"< 1 year"	"1"	8579	258270	3321.7
	"1968"	"1968"	"1-4 years"	"1-4"	1418	1042000	136.1
	"1968"	"1968"	"5-9 years"	"5-9"	711	1390000	51.2
	"1968"	"1968"	"10-14 years"	"10-14"	562	1351000	41.6
	"1968"	"1968"	"15-19 years"	"15-19"	930	1136000	81.9
	"1968"	"1968"	"20-24 years"	"20-24"	1240	878000	141.2
	"1968"	"1968"	"25-34 years"	"25-34"	3442	1392000	247.3
	"1968"	"1968"	"35-44 years"	"35-44"	7432	1309000	567.8
	"1968"	"1968"	"45-54 years"	"45-54"	12007	1100000	1091.5
	"1968"	"1968"	"55-64 years"	"55-64"	17865	828000	2157.6
	"1968"	"1968"	"65-74 years"	"65-74"	22756	563000	4041.9
	"1968"	"1968"	"75-84 years"	"75-84"	15394	222000	6934.2
	"1968"	"1968"	"85+ years"	"85+"	7467	56000	13333.9
	"1968"	"1968"	"Not Stated"	"NS"	86	Not Applicable	Not Applicable
"Total"	"1968"	"1968"			99889	11525270	866.7
	"1969"	"1969"	"< 1 year"	"1"	8360	264186	3164.4
	"1969"	"1969"	"1-4 years"	"1-4"	1328	1008000	131.7
	"1969"	"1969"	"5-9 years"	"5-9"	675	1387000	48.7
	"1969"	"1969"	"10-14 years"	"10-14"	577	1385000	41.7
	"1969"	"1969"	"15-19 years"	"15-19"	1123	1182000	95.0
	"1969"	"1969"	"20-24 years"	"20-24"	1306	931000	140.3
	"1969"	"1969"	"25-34 years"	"25-34"	3422	1425000	240.1
	"1969"	"1969"	"35-44 years"	"35-44"	7155	1308000	547.0
	"1969"	"1969"	"45-54 years"	"45-54"	11829	1118000	1058.1
	"1969"	"1969"	"55-64 years"	"55-64"	17514	851000	2058.0
	"1969"	"1969"	"65-74 years"	"65-74"	22393	572000	3914.9
	"1969"	"1969"	"75-84 years"	"75-84"	15233	227000	6710.6
	"1969"	"1969"	"85+ years"	"85+"	7401	60000	12335.0
	"1969"	"1969"	"Not Stated"	"NS"	76	Not Applicable	Not Applicable
"Total"	"1969"	"1969"			98392	11718186	839.7
	"1970"	"1970"	"< 1 year"	"1"	8176	276702	2954.8
	"1970"	"1970"	"1-4 years"	"1-4"	1256	970376	129.4
	"1970"	"1970"	"5-9 years"	"5-9"	652	1370073	47.6
	"1970"	"1970"	"10-14 years"	"10-14"	562	1403154	40.1
