"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1979"	"1979"	"< 1 year"	"1"	5653	274815	2057.0
	"1979"	"1979"	"1-4 years"	"1-4"	860	936000	91.9
	"1979"	"1979"	"5-9 years"	"5-9"	437	1256000	34.8
	"1979"	"1979"	"10-14 years"	"10-14"	366	1347000	27.2
	"1979"	"1979"	"15-19 years"	"15-19"	777	1502000	51.7
	"1979"	"1979"	"20-24 years"	"20-24"	1311	1408000	93.1
	"1979"	"1979"	"25-34 years"	"25-34"	3179	2177000	146.0
	"1979"	"1979"	"35-44 years"	"35-44"	4683	1458000	321.2
	"1979"	"1979"	"45-54 years"	"45-54"	9498	1251000	759.2
	"1979"	"1979"	"55-64 years"	"55-64"	15688	1044000	1502.7
	"1979"	"1979"	"65-74 years"	"65-74"	22326	766000	2914.6
	"1979"	"1979"	"75-84 years"	"75-84"	20140	360000	5594.4
	"1979"	"1979"	"85+ years"	"85+"	11422	104000	10982.7
	"1979"	"1979"	"Not Stated"	"NS"	45	Not Applicable	Not Applicable
"Total"	"1979"	"1979"			96385	13883815	694.2
	"1980"	"1980"	"< 1 year"	"1"	5645	280084	2015.5
	"1980"	"1980"	"1-4 years"	"1-4"	802	950534	84.4
	"1980"	"1980"	"5-9 years"	"5-9"	417	1242096	33.6
	"1980"	"1980"	"10-14 years"	"10-14"	370	1335911	27.7
	"1980"	"1980"	"15-19 years"	"15-19"	757	1504109	50.3
	"1980"	"1980"	"20-24 years"	"20-24"	1315	1433135	91.8
	"1980"	"1980"	"25-34 years"	"25-34"	3400	2267154	150.0
	"1980"	"1980"	"35-44 years"	"35-44"	4819	1487812	323.9
	"1980"	"1980"	"45-54 years"	"45-54"	9660	1257538	768.2
	"1980"	"1980"	"55-64 years"	"55-64"	16536	1059334	1561.0
	"1980"	"1980"	"65-74 years"	"65-74"	23728	776085	3057.4
	"1980"	"1980"	"75-84 years"	"75-84"	22371	360118	6212.1
	"1980"	"1980"	"85+ years"	"85+"	13115	106047	12367.2
	"1980"	"1980"	"Not Stated"	"NS"	62	Not Applicable	Not Applicable
"Total"	"1980"	"1980"			102997	14059957	732.6
	"1981"	"1981"	"< 1 year"	"1"	5306	278801	1903.1
	"1981"	"1981"	"1-4 years"	"1-4"	814	993390	81.9
	"1981"	"1981"	"5-9 years"	"5-9"	368	1206303	30.5
	"1981"	"1981"	"10-14 years"	"10-14"	389	1334273	29.2
	"1981"	"1981"	"15-19 years"	"15-19"	677	1485022	45.6
	"1981"	"1981"	"20-24 years"	"20-24"	1210	1460967	82.8
	"1981"	"1981"	"25-34 years"	"25-34"	3390	2412469	140.5
	"1981"	"1981"	"35-44 years"	"35-44"	4687	1530190	306.3
	"1981"	"1981"	"45-54 years"	"45-54"	9092	1261047	721.0
	"1981"	"1981"	"55-64 years"	"55-64"	16578	1076863	1539.5
	"1981"	"1981"	"65-74 years"	"65-74"	23086	793300	2910.1
	"1981"	"1981"	"75-84 years"	"75-84"	22241	376214	5911.8
	"1981"	"1981"	"85+ years"	"85+"	13365	112631	11866.2
	"1981"	"1981"	"Not Stated"	"NS"	61	Not Applicable	Not Applicable
"Total"	"1981"	"1981"			101264	14321470	707.1
	"1982"	"1982"	"< 1 year"	"1"	5157	279690	1843.8
	"1982"	"1982"	"1-4 years"	"1-4"	797	1013841	78.6
	"1982"	"1982"	"5-9 years"	"5-9"	399	1200587	33.2
	"1982"	"1982"	"10-14 years"	"10-14"	337	1331260	25.3
	"1982"	"1982"	"15-19 years"	"15-19"	696	1457700	47.7
	"1982"	"1982"	"20-24 years"	"20-24"	1173	1468979	79.9
	"1982"	"1982"	"25-34 years"	"25-34"	3369	2497828	134.9
	"1982"	"1982"	"35-44 years"	"35-44"	4543	1600579	283.8
	"1982"	"1982"	"45-54 years"	"45-54"	8740	1264487	691.2
	"1982"	"1982"	"55-64 years"	"55-64"	16541	1090373	1517.0
	"1982"	"1982"	"65-74 years"	"65-74"	22847	805162	2837.6
	"1982"	"1982"	"75-84 years"	"75-84"	22834	389855	5857.0
	"1982"	"1982"	"85+ years"	"85+"	13409	118263	11338.3
	"1982"	"1982"	"Not Stated"	"NS"	61	Not Applicable	Not Applicable
"Total"	"1982"	"1982"			100903	14518604	695.0
	"1983"	"1983"	"< 1 year"	"1"	4983	277509	1795.6
	"1983"	"1983"	"1-4 years"	"1-4"	765	1036597	73.8
	"1983"	"1983"	"5-9 years"	"5-9"	370	1204064	30.7
	"1983"	"1983"	"10-14 years"	"10-14"	345	1322407	26.1
	"1983"	"1983"	"15-19 years"	"15-19"	685	1426935	48.0
	"1983"	"1983"	"20-24 years"	"20-24"	1221	1477004	82.7
	"1983"	"1983"	"25-34 years"	"25-34"	3358	2575796	130.4
	"1983"	"1983"	"35-44 years"	"35-44"	4638	1667462	278.1
	"1983"	"1983"	"45-54 years"	"45-54"	8799	1273406	691.0
	"1983"	"1983"	"55-64 years"	"55-64"	17095	1102951	1549.9
	"1983"	"1983"	"65-74 years"	"65-74"	24148	815375	2961.6
	"1983"	"1983"	"75-84 years"	"75-84"	24137	403645	5979.8
	"1983"	"1983"	"85+ years"	"85+"	14615	123777	11807.5
	"1983"	"1983"	"Not Stated"	"NS"	54	Not Applicable	Not Applicable
"Total"	"1983"	"1983"			105213	14706928	715.4
	"1984"	"1984"	"< 1 year"	"1"	4920	279807	1758.4
	"1984"	"1984"	"1-4 years"	"1-4"	760	1046926	72.6
	"1984"	"1984"	"5-9 years"	"5-9"	372	1230279	30.2
	"1984"	"1984"	"10-14 years"	"10-14"	342	1301455	26.3
	"1984"	"1984"	"15-19 years"	"15-19"	627	1397957	44.9
	"1984"	"1984"	"20-24 years"	"20-24"	1148	1477002	77.7
	"1984"	"1984"	"25-34 years"	"25-34"	3483	2647244	131.6
	"1984"	"1984"	"35-44 years"	"35-44"	4965	1746846	284.2
	"1984"	"1984"	"45-54 years"	"45-54"	8561	1283727	666.9
	"1984"	"1984"	"55-64 years"	"55-64"	16848	1112918	1513.9
	"1984"	"1984"	"65-74 years"	"65-74"	24219	824415	2937.7
	"1984"	"1984"	"75-84 years"	"75-84"	25231	417474	6043.7
	"1984"	"1984"	"85+ years"	"85+"	15214	129010	11792.9
	"1984"	"1984"	"Not Stated"	"NS"	47	Not Applicable	Not Applicable
"Total"	"1984"	"1984"			106737	14895060	716.6
	"1985"	"1985"	"< 1 year"	"1"	4936	286724	1721.5
	"1985"	"1985"	"1-4 years"	"1-4"	743	1044776	71.1
	"1985"	"1985"	"5-9 years"	"5-9"	401	1260948	31.8
	"1985"	"1985"	"10-14 years"	"10-14"	327	1285927	25.4
	"1985"	"1985"	"15-19 years"	"15-19"	611	1371236	44.6
	"1985"	"1985"	"20-24 years"	"20-24"	1086	1473843	73.7
	"1985"	"1985"	"25-34 years"	"25-34"	3729	2711478	137.5
	"1985"	"1985"	"35-44 years"	"35-44"	5055	1827634	276.6
	"1985"	"1985"	"45-54 years"	"45-54"	8665	1298016	667.6
	"1985"	"1985"	"55-64 years"	"55-64"	17179	1121416	1531.9
	"1985"	"1985"	"65-74 years"	"65-74"	24722	833262	2966.9
	"1985"	"1985"	"75-84 years"	"75-84"	26196	431152	6075.8
	"1985"	"1985"	"85+ years"	"85+"	16895	133382	12666.6
	"1985"	"1985"	"Not Stated"	"NS"	52	Not Applicable	Not Applicable
"Total"	"1985"	"1985"			110597	15079794	733.4
	"1986"	"1986"	"< 1 year"	"1"	4899	291442	1681.0
	"1986"	"1986"	"1-4 years"	"1-4"	809	1052662	76.9
	"1986"	"1986"	"5-9 years"	"5-9"	401	1291549	31.0
	"1986"	"1986"	"10-14 years"	"10-14"	297	1249764	23.8
	"1986"	"1986"	"15-19 years"	"15-19"	672	1373895	48.9
	"1986"	"1986"	"20-24 years"	"20-24"	1153	1455994	79.2
	"1986"	"1986"	"25-34 years"	"25-34"	4098	2767133	148.1
	"1986"	"1986"	"35-44 years"	"35-44"	5532	1920837	288.0
	"1986"	"1986"	"45-54 years"	"45-54"	8818	1312967	671.6
	"1986"	"1986"	"55-64 years"	"55-64"	16976	1128029	1504.9
	"1986"	"1986"	"65-74 years"	"65-74"	24816	843590	2941.7
