"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1979"	"1979"	"< 1 year"	"1"	13577	1382355	982.2
	"1979"	"1979"	"1-4 years"	"1-4"	2560	5078000	50.4
	"1979"	"1979"	"5-9 years"	"5-9"	1615	6824000	23.7
	"1979"	"1979"	"10-14 years"	"10-14"	1706	7482000	22.8
	"1979"	"1979"	"15-19 years"	"15-19"	4648	8781000	52.9
	"1979"	"1979"	"20-24 years"	"20-24"	5111	8909000	57.4
	"1979"	"1979"	"25-34 years"	"25-34"	10054	15535000	64.7
	"1979"	"1979"	"35-44 years"	"35-44"	15558	11042000	140.9
	"1979"	"1979"	"45-54 years"	"45-54"	38908	10389000	374.5
	"1979"	"1979"	"55-64 years"	"55-64"	88143	10216000	862.8
	"1979"	"1979"	"65-74 years"	"65-74"	156653	7841000	1997.9
	"1979"	"1979"	"75-84 years"	"75-84"	229958	4373000	5258.6
	"1979"	"1979"	"85+ years"	"85+"	197373	1407000	14027.9
	"1979"	"1979"	"Not Stated"	"NS"	144	Not Applicable	Not Applicable
"Total"	"1979"	"1979"			766008	99259355	771.7
	"1980"	"1980"	"< 1 year"	"1"	13590	1426994	952.4
	"1980"	"1980"	"1-4 years"	"1-4"	2526	5127023	49.3
	"1980"	"1980"	"5-9 years"	"5-9"	1613	6688217	24.1
	"1980"	"1980"	"10-14 years"	"10-14"	1612	7369190	21.9
	"1980"	"1980"	"15-19 years"	"15-19"	4664	8677221	53.7
	"1980"	"1980"	"20-24 years"	"20-24"	5139	8975451	57.3
	"1980"	"1980"	"25-34 years"	"25-34"	10395	15896091	65.4
	"1980"	"1980"	"35-44 years"	"35-44"	15520	11231594	138.2
	"1980"	"1980"	"45-54 years"	"45-54"	38328	10285081	372.7
	"1980"	"1980"	"55-64 years"	"55-64"	90473	10325168	876.2
	"1980"	"1980"	"65-74 years"	"65-74"	164322	7951329	2066.6
	"1980"	"1980"	"75-84 years"	"75-84"	240748	4456907	5401.7
	"1980"	"1980"	"85+ years"	"85+"	215691	1439899	14979.6
	"1980"	"1980"	"Not Stated"	"NS"	108	Not Applicable	Not Applicable
"Total"	"1980"	"1980"			804729	99850165	805.9
	"1981"	"1981"	"< 1 year"	"1"	13067	1433262	911.7
	"1981"	"1981"	"1-4 years"	"1-4"	2540	5290734	48.0
	"1981"	"1981"	"5-9 years"	"5-9"	1437	6391813	22.5
	"1981"	"1981"	"10-14 years"	"10-14"	1540	7365354	20.9
	"1981"	"1981"	"15-19 years"	"15-19"	4232	8358812	50.6
	"1981"	"1981"	"20-24 years"	"20-24"	5017	9070863	55.3
	"1981"	"1981"	"25-34 years"	"25-34"	10717	16565072	64.7
	"1981"	"1981"	"35-44 years"	"35-44"	15439	11522519	134.0
	"1981"	"1981"	"45-54 years"	"45-54"	37542	10123744	370.8
	"1981"	"1981"	"55-64 years"	"55-64"	90586	10399038	871.1
	"1981"	"1981"	"65-74 years"	"65-74"	164797	8097086	2035.3
	"1981"	"1981"	"75-84 years"	"75-84"	238524	4598379	5187.1
	"1981"	"1981"	"85+ years"	"85+"	220183	1522433	14462.6
	"1981"	"1981"	"Not Stated"	"NS"	122	Not Applicable	Not Applicable
"Total"	"1981"	"1981"			805743	100739109	799.8
	"1982"	"1982"	"< 1 year"	"1"	12694	1453240	873.5
	"1982"	"1982"	"1-4 years"	"1-4"	2558	5398933	47.4
	"1982"	"1982"	"5-9 years"	"5-9"	1383	6333206	21.8
	"1982"	"1982"	"10-14 years"	"10-14"	1494	7267060	20.6
	"1982"	"1982"	"15-19 years"	"15-19"	3709	8086657	45.9
	"1982"	"1982"	"20-24 years"	"20-24"	4739	9046407	52.4
	"1982"	"1982"	"25-34 years"	"25-34"	10217	16676461	61.3
	"1982"	"1982"	"35-44 years"	"35-44"	15666	12231142	128.1
	"1982"	"1982"	"45-54 years"	"45-54"	35575	10008291	355.5
	"1982"	"1982"	"55-64 years"	"55-64"	90049	10427360	863.6
	"1982"	"1982"	"65-74 years"	"65-74"	166225	8218917	2022.5
	"1982"	"1982"	"75-84 years"	"75-84"	241773	4722252	5119.9
	"1982"	"1982"	"85+ years"	"85+"	223582	1587447	14084.4
	"1982"	"1982"	"Not Stated"	"NS"	182	Not Applicable	Not Applicable
"Total"	"1982"	"1982"			809846	101457373	798.2
	"1983"	"1983"	"< 1 year"	"1"	12170	1432650	849.5
	"1983"	"1983"	"1-4 years"	"1-4"	2427	5511605	44.0
	"1983"	"1983"	"5-9 years"	"5-9"	1296	6363441	20.4
	"1983"	"1983"	"10-14 years"	"10-14"	1371	7122927	19.2
	"1983"	"1983"	"15-19 years"	"15-19"	3563	7814833	45.6
	"1983"	"1983"	"20-24 years"	"20-24"	4507	8981291	50.2
	"1983"	"1983"	"25-34 years"	"25-34"	10217	16936125	60.3
	"1983"	"1983"	"35-44 years"	"35-44"	15816	12741961	124.1
	"1983"	"1983"	"45-54 years"	"45-54"	34914	9934259	351.5
	"1983"	"1983"	"55-64 years"	"55-64"	90875	10436004	870.8
	"1983"	"1983"	"65-74 years"	"65-74"	169060	8341572	2026.7
	"1983"	"1983"	"75-84 years"	"75-84"	248717	4848871	5129.4
	"1983"	"1983"	"85+ years"	"85+"	238733	1647150	14493.7
	"1983"	"1983"	"Not Stated"	"NS"	137	Not Applicable	Not Applicable
"Total"	"1983"	"1983"			833803	102112689	816.6
	"1984"	"1984"	"< 1 year"	"1"	11803	1444354	817.2
	"1984"	"1984"	"1-4 years"	"1-4"	2343	5591741	41.9
	"1984"	"1984"	"5-9 years"	"5-9"	1252	6462341	19.4
	"1984"	"1984"	"10-14 years"	"10-14"	1432	6920449	20.7
	"1984"	"1984"	"15-19 years"	"15-19"	3550	7602840	46.7
	"1984"	"1984"	"20-24 years"	"20-24"	4591	8891598	51.6
	"1984"	"1984"	"25-34 years"	"25-34"	10296	17184732	59.9
	"1984"	"1984"	"35-44 years"	"35-44"	16464	13236389	124.4
	"1984"	"1984"	"45-54 years"	"45-54"	34052	9910332	343.6
	"1984"	"1984"	"55-64 years"	"55-64"	90561	10422781	868.9
	"1984"	"1984"	"65-74 years"	"65-74"	171340	8436935	2030.8
	"1984"	"1984"	"75-84 years"	"75-84"	253556	4975913	5095.7
	"1984"	"1984"	"85+ years"	"85+"	246010	1702826	14447.2
	"1984"	"1984"	"Not Stated"	"NS"	118	Not Applicable	Not Applicable
"Total"	"1984"	"1984"			847368	102783231	824.4
	"1985"	"1985"	"< 1 year"	"1"	11646	1477571	788.2
	"1985"	"1985"	"1-4 years"	"1-4"	2240	5598882	40.0
	"1985"	"1985"	"5-9 years"	"5-9"	1273	6574337	19.4
	"1985"	"1985"	"10-14 years"	"10-14"	1324	6713690	19.7
	"1985"	"1985"	"15-19 years"	"15-19"	3497	7500794	46.6
	"1985"	"1985"	"20-24 years"	"20-24"	4311	8734979	49.4
	"1985"	"1985"	"25-34 years"	"25-34"	10361	17434546	59.4
	"1985"	"1985"	"35-44 years"	"35-44"	16701	13699109	121.9
	"1985"	"1985"	"45-54 years"	"45-54"	33857	9909290	341.7
	"1985"	"1985"	"55-64 years"	"55-64"	90199	10377680	869.2
	"1985"	"1985"	"65-74 years"	"65-74"	173037	8536282	2027.1
	"1985"	"1985"	"75-84 years"	"75-84"	260898	5104060	5111.6
	"1985"	"1985"	"85+ years"	"85+"	258930	1755561	14749.1
	"1985"	"1985"	"Not Stated"	"NS"	325	Not Applicable	Not Applicable
