"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	12291	1852123	663.6
	"1999"	"1999"	"1 year"	"1"	886	1849170	47.9
	"1999"	"1999"	"2 years"	"2"	579	1849556	31.3
	"1999"	"1999"	"3 years"	"3"	445	1868553	23.8
	"1999"	"1999"	"4 years"	"4"	364	1926335	18.9
	"1999"	"1999"	"5 years"	"5"	317	1950892	16.2
	"1999"	"1999"	"6 years"	"6"	312	1970698	15.8
	"1999"	"1999"	"7 years"	"7"	297	2034495	14.6
	"1999"	"1999"	"8 years"	"8"	303	2034953	14.9
	"1999"	"1999"	"9 years"	"9"	281	2061580	13.6
	"1999"	"1999"	"10 years"	"10"	293	2021562	14.5
	"1999"	"1999"	"11 years"	"11"	296	1969839	15.0
	"1999"	"1999"	"12 years"	"12"	303	1956197	15.5
	"1999"	"1999"	"13 years"	"13"	296	1952202	15.2
	"1999"	"1999"	"14 years"	"14"	405	1955864	20.7
	"1999"	"1999"	"15 years"	"15"	512	1913334	26.8
	"1999"	"1999"	"16 years"	"16"	784	1948049	40.2
	"1999"	"1999"	"17 years"	"17"	892	1947136	45.8
	"1999"	"1999"	"18 years"	"18"	904	1942583	46.5
	"1999"	"1999"	"19 years"	"19"	906	2010467	45.1
	"1999"	"1999"	"20 years"	"20"	885	1915294	46.2
	"1999"	"1999"	"21 years"	"21"	860	1838440	46.8
	"1999"	"1999"	"22 years"	"22"	832	1807150	46.0
	"1999"	"1999"	"23 years"	"23"	827	1744637	47.4
	"1999"	"1999"	"24 years"	"24"	840	1793094	46.8
	"1999"	"1999"	"25 years"	"25"	884	1800091	49.1
	"1999"	"1999"	"26 years"	"26"	909	1814511	50.1
	"1999"	"1999"	"27 years"	"27"	1037	1949822	53.2
	"1999"	"1999"	"28 years"	"28"	1120	2060374	54.4
	"1999"	"1999"	"29 years"	"29"	1211	2071169	58.5
	"1999"	"1999"	"30 years"	"30"	1295	2064871	62.7
	"1999"	"1999"	"31 years"	"31"	1356	1957054	69.3
	"1999"	"1999"	"32 years"	"32"	1486	2014551	73.8
	"1999"	"1999"	"33 years"	"33"	1634	2036474	80.2
	"1999"	"1999"	"34 years"	"34"	1858	2176173	85.4
	"1999"	"1999"	"35 years"	"35"	2110	2293916	92.0
	"1999"	"1999"	"36 years"	"36"	2379	2281275	104.3
	"1999"	"1999"	"37 years"	"37"	2592	2298941	112.7
	"1999"	"1999"	"38 years"	"38"	2928	2276449	128.6
	"1999"	"1999"	"39 years"	"39"	3114	2323573	134.0
	"1999"	"1999"	"40 years"	"40"	3256	2341168	139.1
	"1999"	"1999"	"41 years"	"41"	3537	2250723	157.1
	"1999"	"1999"	"42 years"	"42"	3827	2271051	168.5
	"1999"	"1999"	"43 years"	"43"	4029	2179527	184.9
	"1999"	"1999"	"44 years"	"44"	4366	2152981	202.8
	"1999"	"1999"	"45 years"	"45"	4568	2146028	212.9
	"1999"	"1999"	"46 years"	"46"	4714	2031823	232.0
	"1999"	"1999"	"47 years"	"47"	4905	2002180	245.0
	"1999"	"1999"	"48 years"	"48"	5109	1889850	270.3
	"1999"	"1999"	"49 years"	"49"	5521	1917853	287.9
	"1999"	"1999"	"50 years"	"50"	5858	1915145	305.9
	"1999"	"1999"	"51 years"	"51"	6400	1839362	347.9
	"1999"	"1999"	"52 years"	"52"	7177	1972464	363.9
	"1999"	"1999"	"53 years"	"53"	6313	1430150	441.4
	"1999"	"1999"	"54 years"	"54"	6750	1487450	453.8
	"1999"	"1999"	"55 years"	"55"	7423	1468560	505.5
	"1999"	"1999"	"56 years"	"56"	8416	1510736	557.1
	"1999"	"1999"	"57 years"	"57"	8132	1327155	612.7
	"1999"	"1999"	"58 years"	"58"	8463	1252109	675.9
	"1999"	"1999"	"59 years"	"59"	9009	1206474	746.7
	"1999"	"1999"	"60 years"	"60"	9504	1205799	788.2
	"1999"	"1999"	"61 years"	"61"	10206	1138272	896.6
	"1999"	"1999"	"62 years"	"62"	10734	1089367	985.3
	"1999"	"1999"	"63 years"	"63"	11590	1083500	1069.7
	"1999"	"1999"	"64 years"	"64"	12778	1096791	1165.0
	"1999"	"1999"	"65 years"	"65"	13404	1018034	1316.7
	"1999"	"1999"	"66 years"	"66"	14491	1018914	1422.2
	"1999"	"1999"	"67 years"	"67"	15509	1035759	1497.4
	"1999"	"1999"	"68 years"	"68"	16988	1038635	1635.6
	"1999"	"1999"	"69 years"	"69"	18774	1030646	1821.6
	"1999"	"1999"	"70 years"	"70"	19954	1036615	1924.9
	"1999"	"1999"	"71 years"	"71"	21793	1013700	2149.8
	"1999"	"1999"	"72 years"	"72"	23669	984670	2403.7
	"1999"	"1999"	"73 years"	"73"	25383	969353	2618.6
	"1999"	"1999"	"74 years"	"74"	27715	979098	2830.7
	"1999"	"1999"	"75 years"	"75"	29240	947146	3087.2
	"1999"	"1999"	"76 years"	"76"	30499	899769	3389.6
	"1999"	"1999"	"77 years"	"77"	32953	882594	3733.7
	"1999"	"1999"	"78 years"	"78"	34756	837925	4147.9
	"1999"	"1999"	"79 years"	"79"	36048	763787	4719.6
	"1999"	"1999"	"80 years"	"80"	36414	729846	4989.3
	"1999"	"1999"	"81 years"	"81"	37609	653248	5757.2
	"1999"	"1999"	"82 years"	"82"	38957	610394	6382.3
	"1999"	"1999"	"83 years"	"83"	39836	563499	7069.4
	"1999"	"1999"	"84 years"	"84"	41308	522990	7898.4
	"1999"	"1999"	"85 years"	"85"	41775	Not Applicable	Not Applicable
	"1999"	"1999"	"86 years"	"86"	42335	Not Applicable	Not Applicable
	"1999"	"1999"	"87 years"	"87"	40980	Not Applicable	Not Applicable
	"1999"	"1999"	"88 years"	"88"	40513	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	38769	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	36153	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	34640	Not Applicable	Not Applicable
	"1999"	"1999"	"92 years"	"92"	30736	Not Applicable	Not Applicable
	"1999"	"1999"	"93 years"	"93"	26466	Not Applicable	Not Applicable
	"1999"	"1999"	"94 years"	"94"	23485	Not Applicable	Not Applicable
	"1999"	"1999"	"95 years"	"95"	19632	Not Applicable	Not Applicable
	"1999"	"1999"	"96 years"	"96"	16099	Not Applicable	Not Applicable
	"1999"	"1999"	"97 years"	"97"	12540	Not Applicable	Not Applicable
	"1999"	"1999"	"98 years"	"98"	9823	Not Applicable	Not Applicable
	"1999"	"1999"	"99 years"	"99"	7129	Not Applicable	Not Applicable
	"1999"	"1999"	"100+ years"	"100"	15077	Not Applicable	Not Applicable
	"1999"	"1999"	"Not Stated"	"NS"	79	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			1215939	142237295	854.9
	"2000"	"2000"	"< 1 year"	"0"	12317	1856631	663.4
	"2000"	"2000"	"1 year"	"1"	856	1867477	45.8
	"2000"	"2000"	"2 years"	"2"	571	1851456	30.8
	"2000"	"2000"	"3 years"	"3"	374	1873836	20.0
	"2000"	"2000"	"4 years"	"4"	354	1915665	18.5
	"2000"	"2000"	"5 years"	"5"	314	1934031	16.2
	"2000"	"2000"	"6 years"	"6"	273	1961488	13.9
	"2000"	"2000"	"7 years"	"7"	295	2008279	14.7
	"2000"	"2000"	"8 years"	"8"	260	2041401	12.7
	"2000"	"2000"	"9 years"	"9"	261	2081029	12.5
	"2000"	"2000"	"10 years"	"10"	254	2082812	12.2
	"2000"	"2000"	"11 years"	"11"	301	2006936	15.0
	"2000"	"2000"	"12 years"	"12"	279	1988614	14.0
	"2000"	"2000"	"13 years"	"13"	339	1956842	17.3
	"2000"	"2000"	"14 years"	"14"	436	1972671	22.1
	"2000"	"2000"	"15 years"	"15"	540	1954277	27.6
	"2000"	"2000"	"16 years"	"16"	716	1926439	37.2
	"2000"	"2000"	"17 years"	"17"	784	1954732	40.1
	"2000"	"2000"	"18 years"	"18"	927	1972745	47.0
	"2000"	"2000"	"19 years"	"19"	899	2020693	44.5
	"2000"	"2000"	"20 years"	"20"	911	1978228	46.1
	"2000"	"2000"	"21 years"	"21"	924	1875409	49.3
	"2000"	"2000"	"22 years"	"22"	863	1837099	47.0
	"2000"	"2000"	"23 years"	"23"	850	1798182	47.3
	"2000"	"2000"	"24 years"	"24"	822	1787269	46.0
	"2000"	"2000"	"25 years"	"25"	894	1838640	48.6
	"2000"	"2000"	"26 years"	"26"	900	1787277	50.4
	"2000"	"2000"	"27 years"	"27"	999	1874853	53.3
	"2000"	"2000"	"28 years"	"28"	1068	1974005	54.1
	"2000"	"2000"	"29 years"	"29"	1201	2107801	57.0
	"2000"	"2000"	"30 years"	"30"	1260	2115732	59.6
	"2000"	"2000"	"31 years"	"31"	1366	1991793	68.6
	"2000"	"2000"	"32 years"	"32"	1464	1985244	73.7
	"2000"	"2000"	"33 years"	"33"	1620	2008556	80.7
	"2000"	"2000"	"34 years"	"34"	1789	2087294	85.7
	"2000"	"2000"	"35 years"	"35"	2030	2250497	90.2
	"2000"	"2000"	"36 years"	"36"	2291	2263639	101.2
	"2000"	"2000"	"37 years"	"37"	2611	2266938	115.2
	"2000"	"2000"	"38 years"	"38"	2802	2285731	122.6
	"2000"	"2000"	"39 years"	"39"	3154	2321163	135.9
	"2000"	"2000"	"40 years"	"40"	3402	2358828	144.2
	"2000"	"2000"	"41 years"	"41"	3681	2253642	163.3
	"2000"	"2000"	"42 years"	"42"	3869	2290677	168.9
	"2000"	"2000"	"43 years"	"43"	4290	2229419	192.4
	"2000"	"2000"	"44 years"	"44"	4371	2180195	200.5
	"2000"	"2000"	"45 years"	"45"	4735	2190345	216.2
	"2000"	"2000"	"46 years"	"46"	4811	2077993	231.5
	"2000"	"2000"	"47 years"	"47"	5148	2043564	251.9
	"2000"	"2000"	"48 years"	"48"	5356	1975473	271.1
	"2000"	"2000"	"49 years"	"49"	5661	1915523	295.5
	"2000"	"2000"	"50 years"	"50"	6100	1936877	314.9
	"2000"	"2000"	"51 years"	"51"	6378	1847534	345.2
	"2000"	"2000"	"52 years"	"52"	7039	1891651	372.1
	"2000"	"2000"	"53 years"	"53"	7848	1856617	422.7
