"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	333	78302	425.3
	"1999"	"1999"	"1 year"	"1"	17	81675	Unreliable
	"1999"	"1999"	"2 years"	"2"	23	81774	28.1
	"1999"	"1999"	"3 years"	"3"	12	83592	Unreliable
	"1999"	"1999"	"4 years"	"4"	17	83070	Unreliable
	"1999"	"1999"	"5 years"	"5"	13	81976	Unreliable
	"1999"	"1999"	"6 years"	"6"	8	79958	Unreliable
	"1999"	"1999"	"7 years"	"7"	10	82724	Unreliable
	"1999"	"1999"	"8 years"	"8"	9	80024	Unreliable
	"1999"	"1999"	"9 years"	"9"	8	74248	Unreliable
	"1999"	"1999"	"10 years"	"10"	14	81301	Unreliable
	"1999"	"1999"	"11 years"	"11"	6	79521	Unreliable
	"1999"	"1999"	"12 years"	"12"	8	76940	Unreliable
	"1999"	"1999"	"13 years"	"13"	14	79779	Unreliable
	"1999"	"1999"	"14 years"	"14"	5	79894	Unreliable
	"1999"	"1999"	"15 years"	"15"	14	81318	Unreliable
	"1999"	"1999"	"16 years"	"16"	20	83393	24.0
	"1999"	"1999"	"17 years"	"17"	23	82203	28.0
	"1999"	"1999"	"18 years"	"18"	24	87405	27.5
	"1999"	"1999"	"19 years"	"19"	26	90435	28.7
	"1999"	"1999"	"20 years"	"20"	23	90535	25.4
	"1999"	"1999"	"21 years"	"21"	22	88277	24.9
	"1999"	"1999"	"22 years"	"22"	19	89568	Unreliable
	"1999"	"1999"	"23 years"	"23"	23	93312	24.6
	"1999"	"1999"	"24 years"	"24"	37	99035	37.4
	"1999"	"1999"	"25 years"	"25"	21	106765	19.7
	"1999"	"1999"	"26 years"	"26"	25	107781	23.2
	"1999"	"1999"	"27 years"	"27"	28	114932	24.4
	"1999"	"1999"	"28 years"	"28"	34	113721	29.9
	"1999"	"1999"	"29 years"	"29"	27	112998	23.9
	"1999"	"1999"	"30 years"	"30"	38	114187	33.3
	"1999"	"1999"	"31 years"	"31"	33	106547	31.0
	"1999"	"1999"	"32 years"	"32"	41	104135	39.4
	"1999"	"1999"	"33 years"	"33"	32	100494	31.8
	"1999"	"1999"	"34 years"	"34"	41	104304	39.3
	"1999"	"1999"	"35 years"	"35"	47	107642	43.7
	"1999"	"1999"	"36 years"	"36"	41	106460	38.5
	"1999"	"1999"	"37 years"	"37"	33	100862	32.7
	"1999"	"1999"	"38 years"	"38"	61	99059	61.6
	"1999"	"1999"	"39 years"	"39"	57	100717	56.6
	"1999"	"1999"	"40 years"	"40"	72	102418	70.3
	"1999"	"1999"	"41 years"	"41"	53	96266	55.1
	"1999"	"1999"	"42 years"	"42"	75	95935	78.2
	"1999"	"1999"	"43 years"	"43"	63	95819	65.7
	"1999"	"1999"	"44 years"	"44"	87	92921	93.6
	"1999"	"1999"	"45 years"	"45"	83	93652	88.6
	"1999"	"1999"	"46 years"	"46"	118	87048	135.6
	"1999"	"1999"	"47 years"	"47"	122	83690	145.8
	"1999"	"1999"	"48 years"	"48"	110	80782	136.2
	"1999"	"1999"	"49 years"	"49"	142	82357	172.4
	"1999"	"1999"	"50 years"	"50"	155	83378	185.9
	"1999"	"1999"	"51 years"	"51"	137	74502	183.9
	"1999"	"1999"	"52 years"	"52"	124	68463	181.1
	"1999"	"1999"	"53 years"	"53"	138	61235	225.4
	"1999"	"1999"	"54 years"	"54"	139	56120	247.7
	"1999"	"1999"	"55 years"	"55"	150	53527	280.2
	"1999"	"1999"	"56 years"	"56"	131	49779	263.2
	"1999"	"1999"	"57 years"	"57"	158	46677	338.5
	"1999"	"1999"	"58 years"	"58"	181	44521	406.5
	"1999"	"1999"	"59 years"	"59"	141	43217	326.3
	"1999"	"1999"	"60 years"	"60"	162	42532	380.9
	"1999"	"1999"	"61 years"	"61"	181	38548	469.5
	"1999"	"1999"	"62 years"	"62"	176	37676	467.1
	"1999"	"1999"	"63 years"	"63"	228	35960	634.0
	"1999"	"1999"	"64 years"	"64"	241	35507	678.7
	"1999"	"1999"	"65 years"	"65"	229	35960	636.8
	"1999"	"1999"	"66 years"	"66"	248	33012	751.2
	"1999"	"1999"	"67 years"	"67"	279	31905	874.5
	"1999"	"1999"	"68 years"	"68"	281	30428	923.5
	"1999"	"1999"	"69 years"	"69"	311	31000	1003.2
	"1999"	"1999"	"70 years"	"70"	327	30453	1073.8
