"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	3925	297942	1317.4
	"1999"	"1999"	"1 year"	"1"	220	301780	72.9
	"1999"	"1999"	"2 years"	"2"	145	300052	48.3
	"1999"	"1999"	"3 years"	"3"	110	301285	36.5
	"1999"	"1999"	"4 years"	"4"	90	322971	27.9
	"1999"	"1999"	"5 years"	"5"	78	332747	23.4
	"1999"	"1999"	"6 years"	"6"	83	338760	24.5
	"1999"	"1999"	"7 years"	"7"	65	346468	18.8
	"1999"	"1999"	"8 years"	"8"	66	346735	19.0
	"1999"	"1999"	"9 years"	"9"	69	353796	19.5
	"1999"	"1999"	"10 years"	"10"	54	345635	15.6
	"1999"	"1999"	"11 years"	"11"	72	323546	22.3
	"1999"	"1999"	"12 years"	"12"	61	315268	19.3
	"1999"	"1999"	"13 years"	"13"	71	307401	23.1
	"1999"	"1999"	"14 years"	"14"	74	309072	23.9
	"1999"	"1999"	"15 years"	"15"	69	300583	23.0
	"1999"	"1999"	"16 years"	"16"	138	302696	45.6
	"1999"	"1999"	"17 years"	"17"	140	305347	45.8
	"1999"	"1999"	"18 years"	"18"	169	302912	55.8
	"1999"	"1999"	"19 years"	"19"	176	320861	54.9
	"1999"	"1999"	"20 years"	"20"	199	303668	65.5
	"1999"	"1999"	"21 years"	"21"	201	284098	70.8
	"1999"	"1999"	"22 years"	"22"	191	279833	68.3
	"1999"	"1999"	"23 years"	"23"	200	264128	75.7
	"1999"	"1999"	"24 years"	"24"	235	269046	87.3
	"1999"	"1999"	"25 years"	"25"	241	272032	88.6
	"1999"	"1999"	"26 years"	"26"	221	273281	80.9
	"1999"	"1999"	"27 years"	"27"	269	288679	93.2
	"1999"	"1999"	"28 years"	"28"	300	297834	100.7
	"1999"	"1999"	"29 years"	"29"	340	295198	115.2
	"1999"	"1999"	"30 years"	"30"	351	291071	120.6
	"1999"	"1999"	"31 years"	"31"	373	280603	132.9
	"1999"	"1999"	"32 years"	"32"	389	285216	136.4
	"1999"	"1999"	"33 years"	"33"	458	292132	156.8
	"1999"	"1999"	"34 years"	"34"	450	309364	145.5
	"1999"	"1999"	"35 years"	"35"	553	321720	171.9
	"1999"	"1999"	"36 years"	"36"	621	312134	199.0
	"1999"	"1999"	"37 years"	"37"	697	313010	222.7
	"1999"	"1999"	"38 years"	"38"	792	302978	261.4
	"1999"	"1999"	"39 years"	"39"	829	314568	263.5
	"1999"	"1999"	"40 years"	"40"	839	319109	262.9
	"1999"	"1999"	"41 years"	"41"	941	293446	320.7
	"1999"	"1999"	"42 years"	"42"	1013	296917	341.2
	"1999"	"1999"	"43 years"	"43"	1073	282575	379.7
	"1999"	"1999"	"44 years"	"44"	1116	276072	404.2
	"1999"	"1999"	"45 years"	"45"	1132	269864	419.5
	"1999"	"1999"	"46 years"	"46"	1100	247404	444.6
	"1999"	"1999"	"47 years"	"47"	1186	245751	482.6
	"1999"	"1999"	"48 years"	"48"	1227	231361	530.3
	"1999"	"1999"	"49 years"	"49"	1267	234961	539.2
	"1999"	"1999"	"50 years"	"50"	1301	228338	569.8
	"1999"	"1999"	"51 years"	"51"	1279	204425	625.7
	"1999"	"1999"	"52 years"	"52"	1382	200275	690.1
	"1999"	"1999"	"53 years"	"53"	1215	157940	769.3
	"1999"	"1999"	"54 years"	"54"	1372	166611	823.5
	"1999"	"1999"	"55 years"	"55"	1378	158149	871.3
	"1999"	"1999"	"56 years"	"56"	1535	151639	1012.3
	"1999"	"1999"	"57 years"	"57"	1481	148327	998.5
	"1999"	"1999"	"58 years"	"58"	1603	130459	1228.7
	"1999"	"1999"	"59 years"	"59"	1611	133576	1206.1
	"1999"	"1999"	"60 years"	"60"	1678	132453	1266.9
	"1999"	"1999"	"61 years"	"61"	1710	121317	1409.5
	"1999"	"1999"	"62 years"	"62"	1845	116061	1589.7
	"1999"	"1999"	"63 years"	"63"	1868	115321	1619.8
	"1999"	"1999"	"64 years"	"64"	1998	115841	1724.8
	"1999"	"1999"	"65 years"	"65"	2172	111225	1952.8
	"1999"	"1999"	"66 years"	"66"	2315	108201	2139.5
	"1999"	"1999"	"67 years"	"67"	2255	107624	2095.3
	"1999"	"1999"	"68 years"	"68"	2264	96976	2334.6
	"1999"	"1999"	"69 years"	"69"	2593	95727	2708.7
	"1999"	"1999"	"70 years"	"70"	2678	98691	2713.5
	"1999"	"1999"	"71 years"	"71"	2749	90725	3030.0
	"1999"	"1999"	"72 years"	"72"	3075	88462	3476.1
	"1999"	"1999"	"73 years"	"73"	3124	84349	3703.7
	"1999"	"1999"	"74 years"	"74"	3303	82140	4021.2
	"1999"	"1999"	"75 years"	"75"	3289	80887	4066.2
	"1999"	"1999"	"76 years"	"76"	3360	73116	4595.4
	"1999"	"1999"	"77 years"	"77"	3419	71176	4803.6
	"1999"	"1999"	"78 years"	"78"	3393	65119	5210.5
	"1999"	"1999"	"79 years"	"79"	3593	59273	6061.8
	"1999"	"1999"	"80 years"	"80"	3353	59425	5642.4
	"1999"	"1999"	"81 years"	"81"	3229	48464	6662.7
	"1999"	"1999"	"82 years"	"82"	3318	44489	7458.0
	"1999"	"1999"	"83 years"	"83"	3099	40675	7618.9
	"1999"	"1999"	"84 years"	"84"	3309	38357	8626.8
	"1999"	"1999"	"85 years"	"85"	3199	Not Applicable	Not Applicable
	"1999"	"1999"	"86 years"	"86"	3264	Not Applicable	Not Applicable
	"1999"	"1999"	"87 years"	"87"	3037	Not Applicable	Not Applicable
	"1999"	"1999"	"88 years"	"88"	2843	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	2875	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	2315	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	2161	Not Applicable	Not Applicable
	"1999"	"1999"	"92 years"	"92"	1997	Not Applicable	Not Applicable
	"1999"	"1999"	"93 years"	"93"	1855	Not Applicable	Not Applicable
	"1999"	"1999"	"94 years"	"94"	1606	Not Applicable	Not Applicable
	"1999"	"1999"	"95 years"	"95"	1317	Not Applicable	Not Applicable
	"1999"	"1999"	"96 years"	"96"	1175	Not Applicable	Not Applicable
	"1999"	"1999"	"97 years"	"97"	916	Not Applicable	Not Applicable
	"1999"	"1999"	"98 years"	"98"	774	Not Applicable	Not Applicable
	"1999"	"1999"	"99 years"	"99"	637	Not Applicable	Not Applicable
	"1999"	"1999"	"100+ years"	"100"	1546	Not Applicable	Not Applicable
	"1999"	"1999"	"Not Stated"	"NS"	19	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			139361	18978030	734.3
	"2000"	"2000"	"< 1 year"	"0"	3870	302401	1279.8
	"2000"	"2000"	"1 year"	"1"	213	305196	69.8
	"2000"	"2000"	"2 years"	"2"	149	303784	49.0
	"2000"	"2000"	"3 years"	"3"	93	305198	30.5
	"2000"	"2000"	"4 years"	"4"	101	314032	32.2
	"2000"	"2000"	"5 years"	"5"	74	324139	22.8
	"2000"	"2000"	"6 years"	"6"	67	335616	20.0
	"2000"	"2000"	"7 years"	"7"	72	345247	20.9
	"2000"	"2000"	"8 years"	"8"	48	348191	13.8
	"2000"	"2000"	"9 years"	"9"	64	354247	18.1
	"2000"	"2000"	"10 years"	"10"	60	354778	16.9
	"2000"	"2000"	"11 years"	"11"	68	333407	20.4
	"2000"	"2000"	"12 years"	"12"	62	324861	19.1
	"2000"	"2000"	"13 years"	"13"	67	313958	21.3
	"2000"	"2000"	"14 years"	"14"	87	313762	27.7
	"2000"	"2000"	"15 years"	"15"	88	305957	28.8
	"2000"	"2000"	"16 years"	"16"	87	301678	28.8
	"2000"	"2000"	"17 years"	"17"	151	303595	49.7
	"2000"	"2000"	"18 years"	"18"	164	308208	53.2
	"2000"	"2000"	"19 years"	"19"	182	317431	57.3
	"2000"	"2000"	"20 years"	"20"	203	312269	65.0
	"2000"	"2000"	"21 years"	"21"	222	294278	75.4
	"2000"	"2000"	"22 years"	"22"	215	282702	76.1
	"2000"	"2000"	"23 years"	"23"	220	274314	80.2
	"2000"	"2000"	"24 years"	"24"	199	270344	73.6
	"2000"	"2000"	"25 years"	"25"	243	273202	88.9
	"2000"	"2000"	"26 years"	"26"	254	266582	95.3
	"2000"	"2000"	"27 years"	"27"	275	280718	98.0
	"2000"	"2000"	"28 years"	"28"	280	289071	96.9
	"2000"	"2000"	"29 years"	"29"	326	306014	106.5
	"2000"	"2000"	"30 years"	"30"	371	301792	122.9
	"2000"	"2000"	"31 years"	"31"	351	278133	126.2
	"2000"	"2000"	"32 years"	"32"	424	283694	149.5
	"2000"	"2000"	"33 years"	"33"	459	284481	161.3
	"2000"	"2000"	"34 years"	"34"	506	301922	167.6
	"2000"	"2000"	"35 years"	"35"	518	320639	161.6
	"2000"	"2000"	"36 years"	"36"	610	312746	195.0
	"2000"	"2000"	"37 years"	"37"	703	310053	226.7
	"2000"	"2000"	"38 years"	"38"	693	308251	224.8
	"2000"	"2000"	"39 years"	"39"	813	311990	260.6
	"2000"	"2000"	"40 years"	"40"	882	321452	274.4
	"2000"	"2000"	"41 years"	"41"	947	298736	317.0
	"2000"	"2000"	"42 years"	"42"	954	298820	319.3
	"2000"	"2000"	"43 years"	"43"	1107	290823	380.6
	"2000"	"2000"	"44 years"	"44"	1079	281119	383.8
	"2000"	"2000"	"45 years"	"45"	1244	280756	443.1
	"2000"	"2000"	"46 years"	"46"	1234	257527	479.2
