"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	2001	368982	542.3
	"1999"	"1999"	"1 year"	"1"	171	350599	48.8
	"1999"	"1999"	"2 years"	"2"	106	351728	30.1
	"1999"	"1999"	"3 years"	"3"	74	340428	21.7
	"1999"	"1999"	"4 years"	"4"	50	353622	14.1
	"1999"	"1999"	"5 years"	"5"	33	350965	9.4
	"1999"	"1999"	"6 years"	"6"	37	346266	10.7
	"1999"	"1999"	"7 years"	"7"	41	353404	11.6
	"1999"	"1999"	"8 years"	"8"	46	333863	13.8
	"1999"	"1999"	"9 years"	"9"	41	324489	12.6
	"1999"	"1999"	"10 years"	"10"	43	311407	13.8
	"1999"	"1999"	"11 years"	"11"	30	301413	10.0
	"1999"	"1999"	"12 years"	"12"	53	290277	18.3
	"1999"	"1999"	"13 years"	"13"	36	288232	12.5
	"1999"	"1999"	"14 years"	"14"	62	280134	22.1
	"1999"	"1999"	"15 years"	"15"	56	278118	20.1
	"1999"	"1999"	"16 years"	"16"	80	283977	28.2
	"1999"	"1999"	"17 years"	"17"	100	284780	35.1
	"1999"	"1999"	"18 years"	"18"	104	293189	35.5
	"1999"	"1999"	"19 years"	"19"	99	297032	33.3
	"1999"	"1999"	"20 years"	"20"	103	294336	35.0
	"1999"	"1999"	"21 years"	"21"	100	291134	34.3
	"1999"	"1999"	"22 years"	"22"	100	292072	34.2
	"1999"	"1999"	"23 years"	"23"	120	294238	40.8
	"1999"	"1999"	"24 years"	"24"	96	300191	32.0
	"1999"	"1999"	"25 years"	"25"	107	298151	35.9
	"1999"	"1999"	"26 years"	"26"	120	298049	40.3
	"1999"	"1999"	"27 years"	"27"	114	298725	38.2
	"1999"	"1999"	"28 years"	"28"	107	306633	34.9
	"1999"	"1999"	"29 years"	"29"	123	300686	40.9
	"1999"	"1999"	"30 years"	"30"	142	303272	46.8
	"1999"	"1999"	"31 years"	"31"	132	280591	47.0
	"1999"	"1999"	"32 years"	"32"	154	284158	54.2
	"1999"	"1999"	"33 years"	"33"	157	275621	57.0
	"1999"	"1999"	"34 years"	"34"	157	279638	56.1
	"1999"	"1999"	"35 years"	"35"	178	282093	63.1
	"1999"	"1999"	"36 years"	"36"	188	271692	69.2
	"1999"	"1999"	"37 years"	"37"	193	255131	75.6
	"1999"	"1999"	"38 years"	"38"	239	253656	94.2
