"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	3824	280072	1365.4
	"1999"	"1999"	"1 year"	"1"	214	284008	75.3
	"1999"	"1999"	"2 years"	"2"	141	282877	49.8
	"1999"	"1999"	"3 years"	"3"	106	284698	37.2
	"1999"	"1999"	"4 years"	"4"	88	305860	28.8
	"1999"	"1999"	"5 years"	"5"	78	315505	24.7
	"1999"	"1999"	"6 years"	"6"	83	322010	25.8
	"1999"	"1999"	"7 years"	"7"	65	329774	19.7
	"1999"	"1999"	"8 years"	"8"	66	330737	20.0
	"1999"	"1999"	"9 years"	"9"	69	337339	20.5
	"1999"	"1999"	"10 years"	"10"	54	329927	16.4
	"1999"	"1999"	"11 years"	"11"	71	309598	22.9
	"1999"	"1999"	"12 years"	"12"	61	301780	20.2
	"1999"	"1999"	"13 years"	"13"	71	294341	24.1
	"1999"	"1999"	"14 years"	"14"	72	296423	24.3
	"1999"	"1999"	"15 years"	"15"	69	288170	23.9
	"1999"	"1999"	"16 years"	"16"	135	290319	46.5
	"1999"	"1999"	"17 years"	"17"	138	292924	47.1
	"1999"	"1999"	"18 years"	"18"	164	289691	56.6
	"1999"	"1999"	"19 years"	"19"	174	306651	56.7
	"1999"	"1999"	"20 years"	"20"	196	289498	67.7
	"1999"	"1999"	"21 years"	"21"	197	269980	73.0
	"1999"	"1999"	"22 years"	"22"	189	266021	71.0
	"1999"	"1999"	"23 years"	"23"	197	250680	78.6
	"1999"	"1999"	"24 years"	"24"	235	255494	92.0
	"1999"	"1999"	"25 years"	"25"	238	258333	92.1
	"1999"	"1999"	"26 years"	"26"	216	260004	83.1
	"1999"	"1999"	"27 years"	"27"	268	274886	97.5
	"1999"	"1999"	"28 years"	"28"	298	283813	105.0
	"1999"	"1999"	"29 years"	"29"	332	281140	118.1
	"1999"	"1999"	"30 years"	"30"	348	276946	125.7
	"1999"	"1999"	"31 years"	"31"	373	267952	139.2
	"1999"	"1999"	"32 years"	"32"	388	272561	142.4
	"1999"	"1999"	"33 years"	"33"	451	279654	161.3
	"1999"	"1999"	"34 years"	"34"	447	296727	150.6
	"1999"	"1999"	"35 years"	"35"	548	309142	177.3
	"1999"	"1999"	"36 years"	"36"	617	300226	205.5
	"1999"	"1999"	"37 years"	"37"	690	301874	228.6
	"1999"	"1999"	"38 years"	"38"	785	292211	268.6
	"1999"	"1999"	"39 years"	"39"	819	303875	269.5
	"1999"	"1999"	"40 years"	"40"	828	308263	268.6
	"1999"	"1999"	"41 years"	"41"	930	283803	327.7
	"1999"	"1999"	"42 years"	"42"	1002	287651	348.3
	"1999"	"1999"	"43 years"	"43"	1063	273522	388.6
	"1999"	"1999"	"44 years"	"44"	1104	267457	412.8
	"1999"	"1999"	"45 years"	"45"	1121	261358	428.9
	"1999"	"1999"	"46 years"	"46"	1093	239839	455.7
	"1999"	"1999"	"47 years"	"47"	1177	238662	493.2
	"1999"	"1999"	"48 years"	"48"	1212	224588	539.7
	"1999"	"1999"	"49 years"	"49"	1262	228277	552.8
	"1999"	"1999"	"50 years"	"50"	1290	221793	581.6
	"1999"	"1999"	"51 years"	"51"	1265	198800	636.3
	"1999"	"1999"	"52 years"	"52"	1367	194698	702.1
	"1999"	"1999"	"53 years"	"53"	1205	153091	787.1
	"1999"	"1999"	"54 years"	"54"	1359	162019	838.8
	"1999"	"1999"	"55 years"	"55"	1365	153923	886.8
	"1999"	"1999"	"56 years"	"56"	1522	147529	1031.7
	"1999"	"1999"	"57 years"	"57"	1471	144668	1016.8
	"1999"	"1999"	"58 years"	"58"	1593	127230	1252.1
	"1999"	"1999"	"59 years"	"59"	1598	130224	1227.1
	"1999"	"1999"	"60 years"	"60"	1665	128992	1290.8
	"1999"	"1999"	"61 years"	"61"	1694	118235	1432.7
	"1999"	"1999"	"62 years"	"62"	1835	113035	1623.4
