"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	5835	1112288	524.6
	"1999"	"1999"	"1 year"	"1"	466	1119140	41.6
	"1999"	"1999"	"2 years"	"2"	298	1120145	26.6
	"1999"	"1999"	"3 years"	"3"	249	1145874	21.7
	"1999"	"1999"	"4 years"	"4"	201	1169805	17.2
	"1999"	"1999"	"5 years"	"5"	183	1186535	15.4
	"1999"	"1999"	"6 years"	"6"	180	1206171	14.9
	"1999"	"1999"	"7 years"	"7"	177	1251626	14.1
	"1999"	"1999"	"8 years"	"8"	176	1272396	13.8
	"1999"	"1999"	"9 years"	"9"	159	1305083	12.2
	"1999"	"1999"	"10 years"	"10"	180	1279960	14.1
	"1999"	"1999"	"11 years"	"11"	182	1261356	14.4
	"1999"	"1999"	"12 years"	"12"	179	1269352	14.1
	"1999"	"1999"	"13 years"	"13"	168	1271655	13.2
	"1999"	"1999"	"14 years"	"14"	261	1281157	20.4
	"1999"	"1999"	"15 years"	"15"	361	1247271	28.9
	"1999"	"1999"	"16 years"	"16"	536	1272166	42.1
	"1999"	"1999"	"17 years"	"17"	614	1269838	48.4
	"1999"	"1999"	"18 years"	"18"	593	1255805	47.2
	"1999"	"1999"	"19 years"	"19"	587	1300337	45.1
	"1999"	"1999"	"20 years"	"20"	544	1226200	44.4
	"1999"	"1999"	"21 years"	"21"	524	1175490	44.6
	"1999"	"1999"	"22 years"	"22"	503	1146234	43.9
	"1999"	"1999"	"23 years"	"23"	469	1093448	42.9
	"1999"	"1999"	"24 years"	"24"	460	1125756	40.9
	"1999"	"1999"	"25 years"	"25"	502	1123909	44.7
	"1999"	"1999"	"26 years"	"26"	528	1136140	46.5
	"1999"	"1999"	"27 years"	"27"	598	1248002	47.9
	"1999"	"1999"	"28 years"	"28"	662	1342865	49.3
	"1999"	"1999"	"29 years"	"29"	702	1362862	51.5
	"1999"	"1999"	"30 years"	"30"	735	1357139	54.2
	"1999"	"1999"	"31 years"	"31"	784	1289369	60.8
	"1999"	"1999"	"32 years"	"32"	879	1340150	65.6
	"1999"	"1999"	"33 years"	"33"	968	1367284	70.8
	"1999"	"1999"	"34 years"	"34"	1179	1480734	79.6
	"1999"	"1999"	"35 years"	"35"	1291	1578829	81.8
	"1999"	"1999"	"36 years"	"36"	1494	1587027	94.1
	"1999"	"1999"	"37 years"	"37"	1636	1624798	100.7
	"1999"	"1999"	"38 years"	"38"	1806	1615867	111.8
	"1999"	"1999"	"39 years"	"39"	1974	1659066	119.0
	"1999"	"1999"	"40 years"	"40"	2041	1672820	122.0
	"1999"	"1999"	"41 years"	"41"	2253	1633997	137.9
	"1999"	"1999"	"42 years"	"42"	2400	1657792	144.8
	"1999"	"1999"	"43 years"	"43"	2590	1586599	163.2
	"1999"	"1999"	"44 years"	"44"	2854	1582310	180.4
	"1999"	"1999"	"45 years"	"45"	3000	1586160	189.1
	"1999"	"1999"	"46 years"	"46"	3162	1514128	208.8
	"1999"	"1999"	"47 years"	"47"	3271	1501724	217.8
	"1999"	"1999"	"48 years"	"48"	3379	1413387	239.1
	"1999"	"1999"	"49 years"	"49"	3714	1440339	257.9
	"1999"	"1999"	"50 years"	"50"	4021	1444564	278.4
	"1999"	"1999"	"51 years"	"51"	4560	1416582	321.9
	"1999"	"1999"	"52 years"	"52"	5239	1560321	335.8
	"1999"	"1999"	"53 years"	"53"	4546	1091656	416.4
	"1999"	"1999"	"54 years"	"54"	4765	1143606	416.7
	"1999"	"1999"	"55 years"	"55"	5427	1145179	473.9
	"1999"	"1999"	"56 years"	"56"	6241	1199591	520.3
