"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	7870	1452001	542.0
	"1999"	"1999"	"1 year"	"1"	634	1440434	44.0
	"1999"	"1999"	"2 years"	"2"	402	1443326	27.9
	"1999"	"1999"	"3 years"	"3"	320	1458749	21.9
	"1999"	"1999"	"4 years"	"4"	250	1495465	16.7
	"1999"	"1999"	"5 years"	"5"	217	1508908	14.4
	"1999"	"1999"	"6 years"	"6"	217	1524752	14.2
	"1999"	"1999"	"7 years"	"7"	218	1577378	13.8
	"1999"	"1999"	"8 years"	"8"	223	1580404	14.1
	"1999"	"1999"	"9 years"	"9"	199	1599629	12.4
	"1999"	"1999"	"10 years"	"10"	222	1564876	14.2
	"1999"	"1999"	"11 years"	"11"	213	1539117	13.8
	"1999"	"1999"	"12 years"	"12"	231	1536480	15.0
	"1999"	"1999"	"13 years"	"13"	204	1537269	13.3
	"1999"	"1999"	"14 years"	"14"	321	1539481	20.9
	"1999"	"1999"	"15 years"	"15"	417	1503316	27.7
	"1999"	"1999"	"16 years"	"16"	615	1534524	40.1
	"1999"	"1999"	"17 years"	"17"	717	1533285	46.8
	"1999"	"1999"	"18 years"	"18"	695	1526999	45.5
	"1999"	"1999"	"19 years"	"19"	689	1574101	43.8
	"1999"	"1999"	"20 years"	"20"	648	1496919	43.3
	"1999"	"1999"	"21 years"	"21"	623	1444242	43.1
	"1999"	"1999"	"22 years"	"22"	603	1416352	42.6
	"1999"	"1999"	"23 years"	"23"	586	1366018	42.9
	"1999"	"1999"	"24 years"	"24"	556	1404054	39.6
	"1999"	"1999"	"25 years"	"25"	607	1399869	43.4
	"1999"	"1999"	"26 years"	"26"	642	1413192	45.4
	"1999"	"1999"	"27 years"	"27"	711	1524806	46.6
	"1999"	"1999"	"28 years"	"28"	772	1627385	47.4
	"1999"	"1999"	"29 years"	"29"	822	1641026	50.1
	"1999"	"1999"	"30 years"	"30"	880	1637906	53.7
	"1999"	"1999"	"31 years"	"31"	920	1549749	59.4
	"1999"	"1999"	"32 years"	"32"	1034	1604172	64.5
	"1999"	"1999"	"33 years"	"33"	1124	1623174	69.2
	"1999"	"1999"	"34 years"	"34"	1339	1740145	76.9
	"1999"	"1999"	"35 years"	"35"	1470	1840105	79.9
	"1999"	"1999"	"36 years"	"36"	1686	1839223	91.7
	"1999"	"1999"	"37 years"	"37"	1832	1861714	98.4
	"1999"	"1999"	"38 years"	"38"	2048	1851901	110.6
	"1999"	"1999"	"39 years"	"39"	2196	1884791	116.5
	"1999"	"1999"	"40 years"	"40"	2298	1895608	121.2
	"1999"	"1999"	"41 years"	"41"	2520	1839018	137.0
	"1999"	"1999"	"42 years"	"42"	2678	1856198	144.3
	"1999"	"1999"	"43 years"	"43"	2849	1780214	160.0
	"1999"	"1999"	"44 years"	"44"	3116	1764007	176.6
	"1999"	"1999"	"45 years"	"45"	3310	1761422	187.9
	"1999"	"1999"	"46 years"	"46"	3451	1678799	205.6
	"1999"	"1999"	"47 years"	"47"	3559	1654767	215.1
	"1999"	"1999"	"48 years"	"48"	3727	1561392	238.7
	"1999"	"1999"	"49 years"	"49"	4070	1584148	256.9
	"1999"	"1999"	"50 years"	"50"	4351	1586053	274.3
	"1999"	"1999"	"51 years"	"51"	4938	1545100	319.6
	"1999"	"1999"	"52 years"	"52"	5607	1689214	331.9
	"1999"	"1999"	"53 years"	"53"	4910	1198308	409.7
	"1999"	"1999"	"54 years"	"54"	5180	1253268	413.3
	"1999"	"1999"	"55 years"	"55"	5834	1244619	468.7
	"1999"	"1999"	"56 years"	"56"	6688	1298803	514.9
	"1999"	"1999"	"57 years"	"57"	6443	1122033	574.2
	"1999"	"1999"	"58 years"	"58"	6599	1068262	617.7
	"1999"	"1999"	"59 years"	"59"	7179	1020800	703.3
	"1999"	"1999"	"60 years"	"60"	7589	1021750	742.7
	"1999"	"1999"	"61 years"	"61"	8225	970583	847.4
	"1999"	"1999"	"62 years"	"62"	8630	928432	929.5
	"1999"	"1999"	"63 years"	"63"	9410	925418	1016.8
	"1999"	"1999"	"64 years"	"64"	10448	938506	1113.3
	"1999"	"1999"	"65 years"	"65"	10924	863940	1264.4
	"1999"	"1999"	"66 years"	"66"	11826	871797	1356.5
	"1999"	"1999"	"67 years"	"67"	12882	890624	1446.4
	"1999"	"1999"	"68 years"	"68"	14347	906036	1583.5
	"1999"	"1999"	"69 years"	"69"	15761	898927	1753.3
	"1999"	"1999"	"70 years"	"70"	16830	901989	1865.9
	"1999"	"1999"	"71 years"	"71"	18610	891607	2087.2
	"1999"	"1999"	"72 years"	"72"	20159	865836	2328.3
	"1999"	"1999"	"73 years"	"73"	21759	856789	2539.6
	"1999"	"1999"	"74 years"	"74"	23897	870028	2746.7
