"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1968"	"1968"	"< 1 year"	"1"	2	1705238	0.1 (Unreliable)
	"1968"	"1968"	"1-4 years"	"1-4"	1	7140000	0.0 (Unreliable)
	"1968"	"1968"	"5-9 years"	"5-9"	0	10024000	0.0 (Unreliable)
	"1968"	"1968"	"10-14 years"	"10-14"	1	9990000	0.0 (Unreliable)
	"1968"	"1968"	"15-19 years"	"15-19"	3	9013000	0.0 (Unreliable)
	"1968"	"1968"	"20-24 years"	"20-24"	11	7847000	0.1 (Unreliable)
	"1968"	"1968"	"25-34 years"	"25-34"	464	12114000	3.8
	"1968"	"1968"	"35-44 years"	"35-44"	2528	12123000	20.9
	"1968"	"1968"	"45-54 years"	"45-54"	6248	11733000	53.3
	"1968"	"1968"	"55-64 years"	"55-64"	7311	9500000	77.0
	"1968"	"1968"	"65-74 years"	"65-74"	6424	6812000	94.3
	"1968"	"1968"	"75-84 years"	"75-84"	4382	3530000	124.1
	"1968"	"1968"	"85+ years"	"85+"	1435	800000	179.4
	"1968"	"1968"	"Not Stated"	"NS"	6	Not Applicable	Not Applicable
"Total"	"1968"	"1968"			28816	102331238	28.2
	"1969"	"1969"	"< 1 year"	"1"	0	1753634	0.0 (Unreliable)
	"1969"	"1969"	"1-4 years"	"1-4"	0	6852000	0.0 (Unreliable)
	"1969"	"1969"	"5-9 years"	"5-9"	0	9932000	0.0 (Unreliable)
	"1969"	"1969"	"10-14 years"	"10-14"	1	10128000	0.0 (Unreliable)
	"1969"	"1969"	"15-19 years"	"15-19"	2	9234000	0.0 (Unreliable)
	"1969"	"1969"	"20-24 years"	"20-24"	19	8187000	0.2 (Unreliable)
	"1969"	"1969"	"25-34 years"	"25-34"	422	12464000	3.4
	"1969"	"1969"	"35-44 years"	"35-44"	2428	11947000	20.3
	"1969"	"1969"	"45-54 years"	"45-54"	6185	11906000	51.9
	"1969"	"1969"	"55-64 years"	"55-64"	7546	9678000	78.0
	"1969"	"1969"	"65-74 years"	"65-74"	6420	6905000	93.0
	"1969"	"1969"	"75-84 years"	"75-84"	4362	3631000	120.1
	"1969"	"1969"	"85+ years"	"85+"	1443	848000	170.2
	"1969"	"1969"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"1969"	"1969"			28830	103465634	27.9
	"1970"	"1970"	"< 1 year"	"1"	0	1816008	0.0 (Unreliable)
	"1970"	"1970"	"1-4 years"	"1-4"	0	6701476	0.0 (Unreliable)
	"1970"	"1970"	"5-9 years"	"5-9"	0	9787751	0.0 (Unreliable)
	"1970"	"1970"	"10-14 years"	"10-14"	0	10198731	0.0 (Unreliable)
	"1970"	"1970"	"15-19 years"	"15-19"	0	9436501	0.0 (Unreliable)
	"1970"	"1970"	"20-24 years"	"20-24"	18	8453752	0.2 (Unreliable)
	"1970"	"1970"	"25-34 years"	"25-34"	499	12690072	3.9
	"1970"	"1970"	"35-44 years"	"35-44"	2422	11856569	20.4
	"1970"	"1970"	"45-54 years"	"45-54"	6328	12020707	52.6
	"1970"	"1970"	"55-64 years"	"55-64"	7601	9797019	77.6
	"1970"	"1970"	"65-74 years"	"65-74"	6566	6998372	93.8
	"1970"	"1970"	"75-84 years"	"75-84"	4691	3682900	127.4
	"1970"	"1970"	"85+ years"	"85+"	1522	968522	157.1
	"1970"	"1970"	"Not Stated"	"NS"	5	Not Applicable	Not Applicable
"Total"	"1970"	"1970"			29652	104408380	28.4
	"1971"	"1971"	"< 1 year"	"1"	2	1733060	0.1 (Unreliable)
	"1971"	"1971"	"1-4 years"	"1-4"	0	6689000	0.0 (Unreliable)
	"1971"	"1971"	"5-9 years"	"5-9"	0	9510000	0.0 (Unreliable)
	"1971"	"1971"	"10-14 years"	"10-14"	0	10346000	0.0 (Unreliable)
	"1971"	"1971"	"15-19 years"	"15-19"	5	9740000	0.1 (Unreliable)
	"1971"	"1971"	"20-24 years"	"20-24"	26	9027000	0.3
	"1971"	"1971"	"25-34 years"	"25-34"	464	13097000	3.5
	"1971"	"1971"	"35-44 years"	"35-44"	2292	11727000	19.5
	"1971"	"1971"	"45-54 years"	"45-54"	6217	12179000	51.0
	"1971"	"1971"	"55-64 years"	"55-64"	7860	10013000	78.5
	"1971"	"1971"	"65-74 years"	"65-74"	6627	7146000	92.7
	"1971"	"1971"	"75-84 years"	"75-84"	4795	3879000	123.6
	"1971"	"1971"	"85+ years"	"85+"	1678	977000	171.8
	"1971"	"1971"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
"Total"	"1971"	"1971"			29969	106063060	28.3
	"1972"	"1972"	"< 1 year"	"1"	0	1588484	0.0 (Unreliable)
	"1972"	"1972"	"1-4 years"	"1-4"	0	6757000	0.0 (Unreliable)
	"1972"	"1972"	"5-9 years"	"5-9"	0	9241000	0.0 (Unreliable)
	"1972"	"1972"	"10-14 years"	"10-14"	0	10347000	0.0 (Unreliable)
	"1972"	"1972"	"15-19 years"	"15-19"	2	9988000	0.0 (Unreliable)
	"1972"	"1972"	"20-24 years"	"20-24"	14	9021000	0.2 (Unreliable)
	"1972"	"1972"	"25-34 years"	"25-34"	522	13920000	3.8
	"1972"	"1972"	"35-44 years"	"35-44"	2240	11659000	19.2
	"1972"	"1972"	"45-54 years"	"45-54"	6474	12271000	52.8
	"1972"	"1972"	"55-64 years"	"55-64"	8098	10160000	79.7
	"1972"	"1972"	"65-74 years"	"65-74"	7144	7295000	97.9
	"1972"	"1972"	"75-84 years"	"75-84"	4912	4006000	122.6
	"1972"	"1972"	"85+ years"	"85+"	1752	1020000	171.8
	"1972"	"1972"	"Not Stated"	"NS"	4	Not Applicable	Not Applicable
"Total"	"1972"	"1972"			31162	107273484	29.0
	"1973"	"1973"	"< 1 year"	"1"	0	1528639	0.0 (Unreliable)
	"1973"	"1973"	"1-4 years"	"1-4"	0	6720000	0.0 (Unreliable)
	"1973"	"1973"	"5-9 years"	"5-9"	1	8961000	0.0 (Unreliable)
	"1973"	"1973"	"10-14 years"	"10-14"	2	10310000	0.0 (Unreliable)
	"1973"	"1973"	"15-19 years"	"15-19"	2	10193000	0.0 (Unreliable)
