"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1979"	"1979"	"< 1 year"	"1"	0	274815	0.0 (Unreliable)
	"1979"	"1979"	"1-4 years"	"1-4"	0	936000	0.0 (Unreliable)
	"1979"	"1979"	"5-9 years"	"5-9"	0	1256000	0.0 (Unreliable)
	"1979"	"1979"	"10-14 years"	"10-14"	0	1347000	0.0 (Unreliable)
	"1979"	"1979"	"15-19 years"	"15-19"	0	1502000	0.0 (Unreliable)
	"1979"	"1979"	"20-24 years"	"20-24"	3	1408000	0.2 (Unreliable)
	"1979"	"1979"	"25-34 years"	"25-34"	110	2177000	5.1
	"1979"	"1979"	"35-44 years"	"35-44"	330	1458000	22.6
	"1979"	"1979"	"45-54 years"	"45-54"	710	1251000	56.8
	"1979"	"1979"	"55-64 years"	"55-64"	763	1044000	73.1
	"1979"	"1979"	"65-74 years"	"65-74"	632	766000	82.5
	"1979"	"1979"	"75-84 years"	"75-84"	361	360000	100.3
	"1979"	"1979"	"85+ years"	"85+"	143	104000	137.5
	"1979"	"1979"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1979"	"1979"			3052	13883815	22.0
	"1980"	"1980"	"< 1 year"	"1"	0	280084	0.0 (Unreliable)
	"1980"	"1980"	"1-4 years"	"1-4"	0	950534	0.0 (Unreliable)
	"1980"	"1980"	"5-9 years"	"5-9"	0	1242096	0.0 (Unreliable)
	"1980"	"1980"	"10-14 years"	"10-14"	0	1335911	0.0 (Unreliable)
	"1980"	"1980"	"15-19 years"	"15-19"	0	1504109	0.0 (Unreliable)
	"1980"	"1980"	"20-24 years"	"20-24"	3	1433135	0.2 (Unreliable)
	"1980"	"1980"	"25-34 years"	"25-34"	120	2267154	5.3
	"1980"	"1980"	"35-44 years"	"35-44"	359	1487812	24.1
	"1980"	"1980"	"45-54 years"	"45-54"	663	1257538	52.7
	"1980"	"1980"	"55-64 years"	"55-64"	846	1059334	79.9
	"1980"	"1980"	"65-74 years"	"65-74"	654	776085	84.3
	"1980"	"1980"	"75-84 years"	"75-84"	411	360118	114.1
	"1980"	"1980"	"85+ years"	"85+"	159	106047	149.9
	"1980"	"1980"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1980"	"1980"			3215	14059957	22.9
	"1981"	"1981"	"< 1 year"	"1"	0	278801	0.0 (Unreliable)
	"1981"	"1981"	"1-4 years"	"1-4"	0	993390	0.0 (Unreliable)
	"1981"	"1981"	"5-9 years"	"5-9"	0	1206303	0.0 (Unreliable)
	"1981"	"1981"	"10-14 years"	"10-14"	0	1334273	0.0 (Unreliable)
	"1981"	"1981"	"15-19 years"	"15-19"	0	1485022	0.0 (Unreliable)
	"1981"	"1981"	"20-24 years"	"20-24"	9	1460967	0.6 (Unreliable)
	"1981"	"1981"	"25-34 years"	"25-34"	124	2412469	5.1
	"1981"	"1981"	"35-44 years"	"35-44"	363	1530190	23.7
	"1981"	"1981"	"45-54 years"	"45-54"	667	1261047	52.9
	"1981"	"1981"	"55-64 years"	"55-64"	861	1076863	80.0
	"1981"	"1981"	"65-74 years"	"65-74"	725	793300	91.4
	"1981"	"1981"	"75-84 years"	"75-84"	430	376214	114.3
	"1981"	"1981"	"85+ years"	"85+"	177	112631	157.2
	"1981"	"1981"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"1981"	"1981"			3358	14321470	23.4
	"1982"	"1982"	"< 1 year"	"1"	1	279690	0.4 (Unreliable)
	"1982"	"1982"	"1-4 years"	"1-4"	0	1013841	0.0 (Unreliable)
	"1982"	"1982"	"5-9 years"	"5-9"	0	1200587	0.0 (Unreliable)
	"1982"	"1982"	"10-14 years"	"10-14"	0	1331260	0.0 (Unreliable)
	"1982"	"1982"	"15-19 years"	"15-19"	0	1457700	0.0 (Unreliable)
	"1982"	"1982"	"20-24 years"	"20-24"	3	1468979	0.2 (Unreliable)
	"1982"	"1982"	"25-34 years"	"25-34"	131	2497828	5.2
	"1982"	"1982"	"35-44 years"	"35-44"	358	1600579	22.4
	"1982"	"1982"	"45-54 years"	"45-54"	728	1264487	57.6
	"1982"	"1982"	"55-64 years"	"55-64"	916	1090373	84.0
	"1982"	"1982"	"65-74 years"	"65-74"	775	805162	96.3
	"1982"	"1982"	"75-84 years"	"75-84"	488	389855	125.2
	"1982"	"1982"	"85+ years"	"85+"	167	118263	141.2
	"1982"	"1982"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1982"	"1982"			3567	14518604	24.6
	"1983"	"1983"	"< 1 year"	"1"	0	277509	0.0 (Unreliable)
	"1983"	"1983"	"1-4 years"	"1-4"	0	1036597	0.0 (Unreliable)
	"1983"	"1983"	"5-9 years"	"5-9"	1	1204064	0.1 (Unreliable)
	"1983"	"1983"	"10-14 years"	"10-14"	0	1322407	0.0 (Unreliable)
	"1983"	"1983"	"15-19 years"	"15-19"	0	1426935	0.0 (Unreliable)
	"1983"	"1983"	"20-24 years"	"20-24"	5	1477004	0.3 (Unreliable)
	"1983"	"1983"	"25-34 years"	"25-34"	118	2575796	4.6
	"1983"	"1983"	"35-44 years"	"35-44"	399	1667462	23.9
	"1983"	"1983"	"45-54 years"	"45-54"	710	1273406	55.8
	"1983"	"1983"	"55-64 years"	"55-64"	929	1102951	84.2
	"1983"	"1983"	"65-74 years"	"65-74"	783	815375	96.0
	"1983"	"1983"	"75-84 years"	"75-84"	480	403645	118.9
	"1983"	"1983"	"85+ years"	"85+"	185	123777	149.5
	"1983"	"1983"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1983"	"1983"			3610	14706928	24.5
	"1984"	"1984"	"< 1 year"	"1"	0	279807	0.0 (Unreliable)
	"1984"	"1984"	"1-4 years"	"1-4"	0	1046926	0.0 (Unreliable)
	"1984"	"1984"	"5-9 years"	"5-9"	0	1230279	0.0 (Unreliable)
	"1984"	"1984"	"10-14 years"	"10-14"	0	1301455	0.0 (Unreliable)
	"1984"	"1984"	"15-19 years"	"15-19"	0	1397957	0.0 (Unreliable)
	"1984"	"1984"	"20-24 years"	"20-24"	3	1477002	0.2 (Unreliable)
	"1984"	"1984"	"25-34 years"	"25-34"	133	2647244	5.0
	"1984"	"1984"	"35-44 years"	"35-44"	503	1746846	28.8
	"1984"	"1984"	"45-54 years"	"45-54"	725	1283727	56.5
	"1984"	"1984"	"55-64 years"	"55-64"	1024	1112918	92.0
	"1984"	"1984"	"65-74 years"	"65-74"	834	824415	101.2
	"1984"	"1984"	"75-84 years"	"75-84"	523	417474	125.3
	"1984"	"1984"	"85+ years"	"85+"	199	129010	154.3
	"1984"	"1984"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1984"	"1984"			3945	14895060	26.5
	"1985"	"1985"	"< 1 year"	"1"	0	286724	0.0 (Unreliable)
	"1985"	"1985"	"1-4 years"	"1-4"	0	1044776	0.0 (Unreliable)
	"1985"	"1985"	"5-9 years"	"5-9"	0	1260948	0.0 (Unreliable)
	"1985"	"1985"	"10-14 years"	"10-14"	0	1285927	0.0 (Unreliable)
	"1985"	"1985"	"15-19 years"	"15-19"	0	1371236	0.0 (Unreliable)
	"1985"	"1985"	"20-24 years"	"20-24"	6	1473843	0.4 (Unreliable)
	"1985"	"1985"	"25-34 years"	"25-34"	121	2711478	4.5
	"1985"	"1985"	"35-44 years"	"35-44"	477	1827634	26.1
	"1985"	"1985"	"45-54 years"	"45-54"	721	1298016	55.5
	"1985"	"1985"	"55-64 years"	"55-64"	1013	1121416	90.3
	"1985"	"1985"	"65-74 years"	"65-74"	839	833262	100.7
	"1985"	"1985"	"75-84 years"	"75-84"	507	431152	117.6
	"1985"	"1985"	"85+ years"	"85+"	212	133382	158.9
	"1985"	"1985"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1985"	"1985"			3896	15079794	25.8
	"1986"	"1986"	"< 1 year"	"1"	0	291442	0.0 (Unreliable)
	"1986"	"1986"	"1-4 years"	"1-4"	0	1052662	0.0 (Unreliable)
	"1986"	"1986"	"5-9 years"	"5-9"	0	1291549	0.0 (Unreliable)
	"1986"	"1986"	"10-14 years"	"10-14"	0	1249764	0.0 (Unreliable)
	"1986"	"1986"	"15-19 years"	"15-19"	0	1373895	0.0 (Unreliable)
	"1986"	"1986"	"20-24 years"	"20-24"	4	1455994	0.3 (Unreliable)
	"1986"	"1986"	"25-34 years"	"25-34"	158	2767133	5.7
	"1986"	"1986"	"35-44 years"	"35-44"	540	1920837	28.1
	"1986"	"1986"	"45-54 years"	"45-54"	796	1312967	60.6
	"1986"	"1986"	"55-64 years"	"55-64"	966	1128029	85.6
	"1986"	"1986"	"65-74 years"	"65-74"	862	843590	102.2
	"1986"	"1986"	"75-84 years"	"75-84"	482	445733	108.1
	"1986"	"1986"	"85+ years"	"85+"	235	138406	169.8
	"1986"	"1986"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"1986"	"1986"			4045	15272001	26.5
	"1987"	"1987"	"< 1 year"	"1"	0	301307	0.0 (Unreliable)
	"1987"	"1987"	"1-4 years"	"1-4"	0	1061442	0.0 (Unreliable)
	"1987"	"1987"	"5-9 years"	"5-9"	0	1313459	0.0 (Unreliable)
	"1987"	"1987"	"10-14 years"	"10-14"	0	1243928	0.0 (Unreliable)
	"1987"	"1987"	"15-19 years"	"15-19"	2	1373503	0.1 (Unreliable)
	"1987"	"1987"	"20-24 years"	"20-24"	5	1429785	0.3 (Unreliable)
	"1987"	"1987"	"25-34 years"	"25-34"	134	2819525	4.8
	"1987"	"1987"	"35-44 years"	"35-44"	575	2007211	28.6
	"1987"	"1987"	"45-54 years"	"45-54"	827	1335660	61.9
	"1987"	"1987"	"55-64 years"	"55-64"	1027	1132561	90.7
	"1987"	"1987"	"65-74 years"	"65-74"	880	853516	103.1
	"1987"	"1987"	"75-84 years"	"75-84"	554	460117	120.4
	"1987"	"1987"	"85+ years"	"85+"	247	143785	171.8
	"1987"	"1987"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1987"	"1987"			4252	15475799	27.5
	"1988"	"1988"	"< 1 year"	"1"	1	314067	0.3 (Unreliable)
	"1988"	"1988"	"1-4 years"	"1-4"	0	1078660	0.0 (Unreliable)
	"1988"	"1988"	"5-9 years"	"5-9"	0	1333672	0.0 (Unreliable)
	"1988"	"1988"	"10-14 years"	"10-14"	0	1248903	0.0 (Unreliable)
	"1988"	"1988"	"15-19 years"	"15-19"	1	1368872	0.1 (Unreliable)
	"1988"	"1988"	"20-24 years"	"20-24"	4	1401680	0.3 (Unreliable)
	"1988"	"1988"	"25-34 years"	"25-34"	156	2863446	5.4
	"1988"	"1988"	"35-44 years"	"35-44"	603	2094392	28.8
	"1988"	"1988"	"45-54 years"	"45-54"	826	1366071	60.5
	"1988"	"1988"	"55-64 years"	"55-64"	1058	1133389	93.3
	"1988"	"1988"	"65-74 years"	"65-74"	908	864317	105.1
	"1988"	"1988"	"75-84 years"	"75-84"	631	473745	133.2
	"1988"	"1988"	"85+ years"	"85+"	279	148679	187.7
	"1988"	"1988"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1988"	"1988"			4467	15689893	28.5
	"1989"	"1989"	"< 1 year"	"1"	1	331408	0.3 (Unreliable)
	"1989"	"1989"	"1-4 years"	"1-4"	0	1109504	0.0 (Unreliable)
	"1989"	"1989"	"5-9 years"	"5-9"	0	1336826	0.0 (Unreliable)
	"1989"	"1989"	"10-14 years"	"10-14"	0	1275682	0.0 (Unreliable)
	"1989"	"1989"	"15-19 years"	"15-19"	0	1350929	0.0 (Unreliable)
	"1989"	"1989"	"20-24 years"	"20-24"	4	1374909	0.3 (Unreliable)
	"1989"	"1989"	"25-34 years"	"25-34"	150	2891548	5.2
	"1989"	"1989"	"35-44 years"	"35-44"	552	2194611	25.2
	"1989"	"1989"	"45-54 years"	"45-54"	857	1395290	61.4
	"1989"	"1989"	"55-64 years"	"55-64"	966	1132167	85.3
	"1989"	"1989"	"65-74 years"	"65-74"	963	875768	110.0
	"1989"	"1989"	"75-84 years"	"75-84"	628	486088	129.2
	"1989"	"1989"	"85+ years"	"85+"	282	153437	183.8
	"1989"	"1989"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1989"	"1989"			4403	15908167	27.7
	"1990"	"1990"	"< 1 year"	"1"	0	337254	0.0 (Unreliable)
	"1990"	"1990"	"1-4 years"	"1-4"	0	1137412	0.0 (Unreliable)
	"1990"	"1990"	"5-9 years"	"5-9"	0	1339798	0.0 (Unreliable)
	"1990"	"1990"	"10-14 years"	"10-14"	0	1301212	0.0 (Unreliable)
	"1990"	"1990"	"15-19 years"	"15-19"	1	1343940	0.1 (Unreliable)
	"1990"	"1990"	"20-24 years"	"20-24"	4	1355862	0.3 (Unreliable)
	"1990"	"1990"	"25-34 years"	"25-34"	153	2904769	5.3
	"1990"	"1990"	"35-44 years"	"35-44"	587	2278832	25.8
	"1990"	"1990"	"45-54 years"	"45-54"	856	1415642	60.5
	"1990"	"1990"	"55-64 years"	"55-64"	1056	1134501	93.1
	"1990"	"1990"	"65-74 years"	"65-74"	992	884151	112.2
	"1990"	"1990"	"75-84 years"	"75-84"	695	494772	140.5
	"1990"	"1990"	"85+ years"	"85+"	315	156362	201.5
	"1990"	"1990"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1990"	"1990"			4659	16084507	29.0
	"1991"	"1991"	"< 1 year"	"1"	0	336147	0.0 (Unreliable)
	"1991"	"1991"	"1-4 years"	"1-4"	0	1204325	0.0 (Unreliable)
	"1991"	"1991"	"5-9 years"	"5-9"	0	1376295	0.0 (Unreliable)
	"1991"	"1991"	"10-14 years"	"10-14"	0	1357517	0.0 (Unreliable)
	"1991"	"1991"	"15-19 years"	"15-19"	0	1315495	0.0 (Unreliable)
	"1991"	"1991"	"20-24 years"	"20-24"	6	1370413	0.4 (Unreliable)
	"1991"	"1991"	"25-34 years"	"25-34"	146	2935364	5.0
	"1991"	"1991"	"35-44 years"	"35-44"	647	2431756	26.6
	"1991"	"1991"	"45-54 years"	"45-54"	867	1460229	59.4
	"1991"	"1991"	"55-64 years"	"55-64"	1065	1142772	93.2
	"1991"	"1991"	"65-74 years"	"65-74"	1040	898586	115.7
	"1991"	"1991"	"75-84 years"	"75-84"	722	505286	142.9
	"1991"	"1991"	"85+ years"	"85+"	315	167928	187.6
	"1991"	"1991"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1991"	"1991"			4809	16502113	29.1
	"1992"	"1992"	"< 1 year"	"1"	0	330907	0.0 (Unreliable)
	"1992"	"1992"	"1-4 years"	"1-4"	0	1249382	0.0 (Unreliable)
	"1992"	"1992"	"5-9 years"	"5-9"	1	1408735	0.1 (Unreliable)
	"1992"	"1992"	"10-14 years"	"10-14"	1	1393716	0.1 (Unreliable)
	"1992"	"1992"	"15-19 years"	"15-19"	0	1318601	0.0 (Unreliable)
	"1992"	"1992"	"20-24 years"	"20-24"	1	1383482	0.1 (Unreliable)
	"1992"	"1992"	"25-34 years"	"25-34"	147	2938265	5.0
	"1992"	"1992"	"35-44 years"	"35-44"	658	2529967	26.0
	"1992"	"1992"	"45-54 years"	"45-54"	936	1537181	60.9
	"1992"	"1992"	"55-64 years"	"55-64"	1007	1150376	87.5
	"1992"	"1992"	"65-74 years"	"65-74"	1028	909778	113.0
	"1992"	"1992"	"75-84 years"	"75-84"	682	514433	132.6
	"1992"	"1992"	"85+ years"	"85+"	316	177067	178.5
	"1992"	"1992"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"1992"	"1992"			4779	16841890	28.4
	"1993"	"1993"	"< 1 year"	"1"	0	324891	0.0 (Unreliable)
	"1993"	"1993"	"1-4 years"	"1-4"	0	1283075	0.0 (Unreliable)
	"1993"	"1993"	"5-9 years"	"5-9"	0	1454362	0.0 (Unreliable)
	"1993"	"1993"	"10-14 years"	"10-14"	0	1428055	0.0 (Unreliable)
	"1993"	"1993"	"15-19 years"	"15-19"	0	1333625	0.0 (Unreliable)
	"1993"	"1993"	"20-24 years"	"20-24"	5	1385931	0.4 (Unreliable)
	"1993"	"1993"	"25-34 years"	"25-34"	144	2940116	4.9
	"1993"	"1993"	"35-44 years"	"35-44"	644	2621893	24.6
	"1993"	"1993"	"45-54 years"	"45-54"	967	1611541	60.0
	"1993"	"1993"	"55-64 years"	"55-64"	1003	1163087	86.2
	"1993"	"1993"	"65-74 years"	"65-74"	1059	922065	114.9
	"1993"	"1993"	"75-84 years"	"75-84"	796	522312	152.4
	"1993"	"1993"	"85+ years"	"85+"	379	185336	204.5
	"1993"	"1993"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1993"	"1993"			4998	17176289	29.1
	"1994"	"1994"	"< 1 year"	"1"	0	313837	0.0 (Unreliable)
	"1994"	"1994"	"1-4 years"	"1-4"	0	1296190	0.0 (Unreliable)
	"1994"	"1994"	"5-9 years"	"5-9"	0	1519209	0.0 (Unreliable)
	"1994"	"1994"	"10-14 years"	"10-14"	0	1445863	0.0 (Unreliable)
	"1994"	"1994"	"15-19 years"	"15-19"	0	1369387	0.0 (Unreliable)
	"1994"	"1994"	"20-24 years"	"20-24"	0	1384092	0.0 (Unreliable)
	"1994"	"1994"	"25-34 years"	"25-34"	139	2928312	4.7
	"1994"	"1994"	"35-44 years"	"35-44"	663	2708197	24.5
	"1994"	"1994"	"45-54 years"	"45-54"	981	1697510	57.8
	"1994"	"1994"	"55-64 years"	"55-64"	1036	1178893	87.9
	"1994"	"1994"	"65-74 years"	"65-74"	1084	930883	116.4
	"1994"	"1994"	"75-84 years"	"75-84"	785	532046	147.5
	"1994"	"1994"	"85+ years"	"85+"	395	192250	205.5
	"1994"	"1994"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1994"	"1994"			5083	17496669	29.1
	"1995"	"1995"	"< 1 year"	"1"	0	297024	0.0 (Unreliable)
	"1995"	"1995"	"1-4 years"	"1-4"	0	1293510	0.0 (Unreliable)
	"1995"	"1995"	"5-9 years"	"5-9"	0	1580199	0.0 (Unreliable)
	"1995"	"1995"	"10-14 years"	"10-14"	0	1458221	0.0 (Unreliable)
	"1995"	"1995"	"15-19 years"	"15-19"	0	1415543	0.0 (Unreliable)
	"1995"	"1995"	"20-24 years"	"20-24"	6	1371957	0.4 (Unreliable)
	"1995"	"1995"	"25-34 years"	"25-34"	153	2922374	5.2
	"1995"	"1995"	"35-44 years"	"35-44"	639	2785673	22.9
	"1995"	"1995"	"45-54 years"	"45-54"	1108	1789727	61.9
	"1995"	"1995"	"55-64 years"	"55-64"	1067	1197923	89.1
	"1995"	"1995"	"65-74 years"	"65-74"	1107	938798	117.9
	"1995"	"1995"	"75-84 years"	"75-84"	798	542005	147.2
	"1995"	"1995"	"85+ years"	"85+"	387	200806	192.7
	"1995"	"1995"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1995"	"1995"			5265	17793760	29.6
	"1996"	"1996"	"< 1 year"	"1"	1	293307	0.3 (Unreliable)
	"1996"	"1996"	"1-4 years"	"1-4"	0	1278912	0.0 (Unreliable)
	"1996"	"1996"	"5-9 years"	"5-9"	0	1637490	0.0 (Unreliable)
	"1996"	"1996"	"10-14 years"	"10-14"	0	1482057	0.0 (Unreliable)
	"1996"	"1996"	"15-19 years"	"15-19"	0	1457078	0.0 (Unreliable)
	"1996"	"1996"	"20-24 years"	"20-24"	8	1346300	0.6 (Unreliable)
	"1996"	"1996"	"25-34 years"	"25-34"	152	2933402	5.2
	"1996"	"1996"	"35-44 years"	"35-44"	697	2855521	24.4
	"1996"	"1996"	"45-54 years"	"45-54"	1101	1887549	58.3
	"1996"	"1996"	"55-64 years"	"55-64"	1012	1216374	83.2
	"1996"	"1996"	"65-74 years"	"65-74"	1045	946248	110.4
	"1996"	"1996"	"75-84 years"	"75-84"	818	553300	147.8
	"1996"	"1996"	"85+ years"	"85+"	420	208251	201.7
	"1996"	"1996"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1996"	"1996"			5254	18095789	29.0
	"1997"	"1997"	"< 1 year"	"1"	0	295383	0.0 (Unreliable)
	"1997"	"1997"	"1-4 years"	"1-4"	0	1252513	0.0 (Unreliable)
	"1997"	"1997"	"5-9 years"	"5-9"	0	1683850	0.0 (Unreliable)
