"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1979"	"1979"	"< 1 year"	"1"	0	1382355	0.0 (Unreliable)
	"1979"	"1979"	"1-4 years"	"1-4"	0	5078000	0.0 (Unreliable)
	"1979"	"1979"	"5-9 years"	"5-9"	0	6824000	0.0 (Unreliable)
	"1979"	"1979"	"10-14 years"	"10-14"	0	7482000	0.0 (Unreliable)
	"1979"	"1979"	"15-19 years"	"15-19"	0	8781000	0.0 (Unreliable)
	"1979"	"1979"	"20-24 years"	"20-24"	15	8909000	0.2 (Unreliable)
	"1979"	"1979"	"25-34 years"	"25-34"	469	15535000	3.0
	"1979"	"1979"	"35-44 years"	"35-44"	1909	11042000	17.3
	"1979"	"1979"	"45-54 years"	"45-54"	5021	10389000	48.3
	"1979"	"1979"	"55-64 years"	"55-64"	8001	10216000	78.3
	"1979"	"1979"	"65-74 years"	"65-74"	7961	7841000	101.5
	"1979"	"1979"	"75-84 years"	"75-84"	5449	4373000	124.6
	"1979"	"1979"	"85+ years"	"85+"	2347	1407000	166.8
	"1979"	"1979"	"Not Stated"	"NS"	5	Not Applicable	Not Applicable
"Total"	"1979"	"1979"			31177	99259355	31.4
	"1980"	"1980"	"< 1 year"	"1"	0	1426994	0.0 (Unreliable)
	"1980"	"1980"	"1-4 years"	"1-4"	0	5127023	0.0 (Unreliable)
	"1980"	"1980"	"5-9 years"	"5-9"	0	6688217	0.0 (Unreliable)
	"1980"	"1980"	"10-14 years"	"10-14"	2	7369190	0.0 (Unreliable)
	"1980"	"1980"	"15-19 years"	"15-19"	3	8677221	0.0 (Unreliable)
	"1980"	"1980"	"20-24 years"	"20-24"	8	8975451	0.1 (Unreliable)
	"1980"	"1980"	"25-34 years"	"25-34"	483	15896091	3.0
	"1980"	"1980"	"35-44 years"	"35-44"	1948	11231594	17.3
	"1980"	"1980"	"45-54 years"	"45-54"	4946	10285081	48.1
	"1980"	"1980"	"55-64 years"	"55-64"	8393	10325168	81.3
	"1980"	"1980"	"65-74 years"	"65-74"	8245	7951329	103.7
	"1980"	"1980"	"75-84 years"	"75-84"	5722	4456907	128.4
	"1980"	"1980"	"85+ years"	"85+"	2472	1439899	171.7
	"1980"	"1980"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1980"	"1980"			32223	99850165	32.3
	"1981"	"1981"	"< 1 year"	"1"	1	1433262	0.1 (Unreliable)
	"1981"	"1981"	"1-4 years"	"1-4"	1	5290734	0.0 (Unreliable)
