"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	0	1852123	Unreliable
	"1999"	"1999"	"1 year"	"1"	0	1849170	Unreliable
	"1999"	"1999"	"2 years"	"2"	0	1849556	Unreliable
	"1999"	"1999"	"3 years"	"3"	0	1868553	Unreliable
	"1999"	"1999"	"4 years"	"4"	1	1926335	Unreliable
	"1999"	"1999"	"5 years"	"5"	0	1950892	Unreliable
	"1999"	"1999"	"6 years"	"6"	0	1970698	Unreliable
	"1999"	"1999"	"7 years"	"7"	0	2034495	Unreliable
	"1999"	"1999"	"8 years"	"8"	0	2034953	Unreliable
	"1999"	"1999"	"9 years"	"9"	0	2061580	Unreliable
	"1999"	"1999"	"10 years"	"10"	1	2021562	Unreliable
	"1999"	"1999"	"11 years"	"11"	0	1969839	Unreliable
	"1999"	"1999"	"12 years"	"12"	0	1956197	Unreliable
	"1999"	"1999"	"13 years"	"13"	0	1952202	Unreliable
	"1999"	"1999"	"14 years"	"14"	0	1955864	Unreliable
	"1999"	"1999"	"15 years"	"15"	1	1913334	Unreliable
	"1999"	"1999"	"16 years"	"16"	0	1948049	Unreliable
	"1999"	"1999"	"17 years"	"17"	2	1947136	Unreliable
	"1999"	"1999"	"18 years"	"18"	0	1942583	Unreliable
	"1999"	"1999"	"19 years"	"19"	0	2010467	Unreliable
	"1999"	"1999"	"20 years"	"20"	0	1915294	Unreliable
	"1999"	"1999"	"21 years"	"21"	0	1838440	Unreliable
	"1999"	"1999"	"22 years"	"22"	1	1807150	Unreliable
	"1999"	"1999"	"23 years"	"23"	6	1744637	Unreliable
	"1999"	"1999"	"24 years"	"24"	3	1793094	Unreliable
	"1999"	"1999"	"25 years"	"25"	6	1800091	Unreliable
	"1999"	"1999"	"26 years"	"26"	11	1814511	Unreliable
	"1999"	"1999"	"27 years"	"27"	13	1949822	Unreliable
	"1999"	"1999"	"28 years"	"28"	27	2060374	1.3
	"1999"	"1999"	"29 years"	"29"	29	2071169	1.4
	"1999"	"1999"	"30 years"	"30"	41	2064871	2.0
	"1999"	"1999"	"31 years"	"31"	66	1957054	3.4
	"1999"	"1999"	"32 years"	"32"	67	2014551	3.3
	"1999"	"1999"	"33 years"	"33"	68	2036474	3.3
	"1999"	"1999"	"34 years"	"34"	108	2176173	5.0
	"1999"	"1999"	"35 years"	"35"	129	2293916	5.6
	"1999"	"1999"	"36 years"	"36"	170	2281275	7.5
	"1999"	"1999"	"37 years"	"37"	207	2298941	9.0
	"1999"	"1999"	"38 years"	"38"	239	2276449	10.5
	"1999"	"1999"	"39 years"	"39"	235	2323573	10.1
	"1999"	"1999"	"40 years"	"40"	270	2341168	11.5
	"1999"	"1999"	"41 years"	"41"	314	2250723	14.0
	"1999"	"1999"	"42 years"	"42"	347	2271051	15.3
	"1999"	"1999"	"43 years"	"43"	382	2179527	17.5
	"1999"	"1999"	"44 years"	"44"	433	2152981	20.1
	"1999"	"1999"	"45 years"	"45"	481	2146028	22.4
	"1999"	"1999"	"46 years"	"46"	495	2031823	24.4
	"1999"	"1999"	"47 years"	"47"	474	2002180	23.7
	"1999"	"1999"	"48 years"	"48"	574	1889850	30.4
	"1999"	"1999"	"49 years"	"49"	584	1917853	30.5
	"1999"	"1999"	"50 years"	"50"	663	1915145	34.6
	"1999"	"1999"	"51 years"	"51"	786	1839362	42.7
	"1999"	"1999"	"52 years"	"52"	761	1972464	38.6
	"1999"	"1999"	"53 years"	"53"	668	1430150	46.7
	"1999"	"1999"	"54 years"	"54"	647	1487450	43.5
	"1999"	"1999"	"55 years"	"55"	710	1468560	48.3
	"1999"	"1999"	"56 years"	"56"	756	1510736	50.0
