"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	0	78302	Unreliable
	"1999"	"1999"	"1 year"	"1"	0	81675	Unreliable
	"1999"	"1999"	"2 years"	"2"	0	81774	Unreliable
	"1999"	"1999"	"3 years"	"3"	0	83592	Unreliable
	"1999"	"1999"	"4 years"	"4"	0	83070	Unreliable
	"1999"	"1999"	"5 years"	"5"	0	81976	Unreliable
	"1999"	"1999"	"6 years"	"6"	0	79958	Unreliable
	"1999"	"1999"	"7 years"	"7"	0	82724	Unreliable
	"1999"	"1999"	"8 years"	"8"	0	80024	Unreliable
	"1999"	"1999"	"9 years"	"9"	0	74248	Unreliable
	"1999"	"1999"	"10 years"	"10"	0	81301	Unreliable
	"1999"	"1999"	"11 years"	"11"	0	79521	Unreliable
	"1999"	"1999"	"12 years"	"12"	0	76940	Unreliable
	"1999"	"1999"	"13 years"	"13"	0	79779	Unreliable
	"1999"	"1999"	"14 years"	"14"	0	79894	Unreliable
	"1999"	"1999"	"15 years"	"15"	0	81318	Unreliable
	"1999"	"1999"	"16 years"	"16"	0	83393	Unreliable
	"1999"	"1999"	"17 years"	"17"	0	82203	Unreliable
	"1999"	"1999"	"18 years"	"18"	0	87405	Unreliable
	"1999"	"1999"	"19 years"	"19"	0	90435	Unreliable
	"1999"	"1999"	"20 years"	"20"	0	90535	Unreliable
	"1999"	"1999"	"21 years"	"21"	0	88277	Unreliable
	"1999"	"1999"	"22 years"	"22"	0	89568	Unreliable
	"1999"	"1999"	"23 years"	"23"	0	93312	Unreliable
	"1999"	"1999"	"24 years"	"24"	0	99035	Unreliable
	"1999"	"1999"	"25 years"	"25"	0	106765	Unreliable
	"1999"	"1999"	"26 years"	"26"	0	107781	Unreliable
	"1999"	"1999"	"27 years"	"27"	0	114932	Unreliable
	"1999"	"1999"	"28 years"	"28"	0	113721	Unreliable
	"1999"	"1999"	"29 years"	"29"	1	112998	Unreliable
	"1999"	"1999"	"30 years"	"30"	1	114187	Unreliable
	"1999"	"1999"	"31 years"	"31"	1	106547	Unreliable
	"1999"	"1999"	"32 years"	"32"	0	104135	Unreliable
	"1999"	"1999"	"33 years"	"33"	1	100494	Unreliable
	"1999"	"1999"	"34 years"	"34"	3	104304	Unreliable
	"1999"	"1999"	"35 years"	"35"	6	107642	Unreliable
	"1999"	"1999"	"36 years"	"36"	2	106460	Unreliable
	"1999"	"1999"	"37 years"	"37"	3	100862	Unreliable
	"1999"	"1999"	"38 years"	"38"	5	99059	Unreliable
	"1999"	"1999"	"39 years"	"39"	6	100717	Unreliable
	"1999"	"1999"	"40 years"	"40"	7	102418	Unreliable
	"1999"	"1999"	"41 years"	"41"	3	96266	Unreliable
	"1999"	"1999"	"42 years"	"42"	10	95935	Unreliable
	"1999"	"1999"	"43 years"	"43"	9	95819	Unreliable
	"1999"	"1999"	"44 years"	"44"	13	92921	Unreliable
	"1999"	"1999"	"45 years"	"45"	11	93652	Unreliable
	"1999"	"1999"	"46 years"	"46"	19	87048	Unreliable
	"1999"	"1999"	"47 years"	"47"	16	83690	Unreliable
	"1999"	"1999"	"48 years"	"48"	15	80782	Unreliable
	"1999"	"1999"	"49 years"	"49"	17	82357	Unreliable
	"1999"	"1999"	"50 years"	"50"	19	83378	Unreliable
	"1999"	"1999"	"51 years"	"51"	16	74502	Unreliable
	"1999"	"1999"	"52 years"	"52"	14	68463	Unreliable
	"1999"	"1999"	"53 years"	"53"	16	61235	Unreliable
	"1999"	"1999"	"54 years"	"54"	10	56120	Unreliable
	"1999"	"1999"	"55 years"	"55"	17	53527	Unreliable
	"1999"	"1999"	"56 years"	"56"	8	49779	Unreliable
	"1999"	"1999"	"57 years"	"57"	14	46677	Unreliable
	"1999"	"1999"	"58 years"	"58"	26	44521	58.4
	"1999"	"1999"	"59 years"	"59"	15	43217	Unreliable
	"1999"	"1999"	"60 years"	"60"	20	42532	47.0
	"1999"	"1999"	"61 years"	"61"	9	38548	Unreliable
	"1999"	"1999"	"62 years"	"62"	16	37676	Unreliable
	"1999"	"1999"	"63 years"	"63"	18	35960	Unreliable
	"1999"	"1999"	"64 years"	"64"	14	35507	Unreliable
	"1999"	"1999"	"65 years"	"65"	13	35960	Unreliable
	"1999"	"1999"	"66 years"	"66"	6	33012	Unreliable
	"1999"	"1999"	"67 years"	"67"	14	31905	Unreliable
	"1999"	"1999"	"68 years"	"68"	16	30428	Unreliable
	"1999"	"1999"	"69 years"	"69"	7	31000	Unreliable
	"1999"	"1999"	"70 years"	"70"	8	30453	Unreliable
	"1999"	"1999"	"71 years"	"71"	13	26996	Unreliable
	"1999"	"1999"	"72 years"	"72"	14	26162	Unreliable
	"1999"	"1999"	"73 years"	"73"	10	24312	Unreliable
	"1999"	"1999"	"74 years"	"74"	9	23102	Unreliable
	"1999"	"1999"	"75 years"	"75"	12	21932	Unreliable
	"1999"	"1999"	"76 years"	"76"	4	19732	Unreliable
	"1999"	"1999"	"77 years"	"77"	7	17461	Unreliable
