"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	0	297942	Unreliable
	"1999"	"1999"	"1 year"	"1"	0	301780	Unreliable
	"1999"	"1999"	"2 years"	"2"	0	300052	Unreliable
	"1999"	"1999"	"3 years"	"3"	0	301285	Unreliable
	"1999"	"1999"	"4 years"	"4"	1	322971	Unreliable
	"1999"	"1999"	"5 years"	"5"	0	332747	Unreliable
	"1999"	"1999"	"6 years"	"6"	0	338760	Unreliable
	"1999"	"1999"	"7 years"	"7"	0	346468	Unreliable
	"1999"	"1999"	"8 years"	"8"	0	346735	Unreliable
	"1999"	"1999"	"9 years"	"9"	0	353796	Unreliable
	"1999"	"1999"	"10 years"	"10"	0	345635	Unreliable
	"1999"	"1999"	"11 years"	"11"	0	323546	Unreliable
	"1999"	"1999"	"12 years"	"12"	0	315268	Unreliable
	"1999"	"1999"	"13 years"	"13"	0	307401	Unreliable
	"1999"	"1999"	"14 years"	"14"	0	309072	Unreliable
	"1999"	"1999"	"15 years"	"15"	0	300583	Unreliable
	"1999"	"1999"	"16 years"	"16"	0	302696	Unreliable
	"1999"	"1999"	"17 years"	"17"	0	305347	Unreliable
	"1999"	"1999"	"18 years"	"18"	0	302912	Unreliable
	"1999"	"1999"	"19 years"	"19"	0	320861	Unreliable
	"1999"	"1999"	"20 years"	"20"	0	303668	Unreliable
	"1999"	"1999"	"21 years"	"21"	0	284098	Unreliable
	"1999"	"1999"	"22 years"	"22"	1	279833	Unreliable
	"1999"	"1999"	"23 years"	"23"	3	264128	Unreliable
	"1999"	"1999"	"24 years"	"24"	1	269046	Unreliable
	"1999"	"1999"	"25 years"	"25"	2	272032	Unreliable
	"1999"	"1999"	"26 years"	"26"	3	273281	Unreliable
	"1999"	"1999"	"27 years"	"27"	5	288679	Unreliable
	"1999"	"1999"	"28 years"	"28"	10	297834	Unreliable
	"1999"	"1999"	"29 years"	"29"	5	295198	Unreliable
	"1999"	"1999"	"30 years"	"30"	8	291071	Unreliable
	"1999"	"1999"	"31 years"	"31"	24	280603	8.6
	"1999"	"1999"	"32 years"	"32"	15	285216	Unreliable
	"1999"	"1999"	"33 years"	"33"	20	292132	6.8
	"1999"	"1999"	"34 years"	"34"	33	309364	10.7
	"1999"	"1999"	"35 years"	"35"	39	321720	12.1
	"1999"	"1999"	"36 years"	"36"	33	312134	10.6
	"1999"	"1999"	"37 years"	"37"	57	313010	18.2
	"1999"	"1999"	"38 years"	"38"	62	302978	20.5
	"1999"	"1999"	"39 years"	"39"	64	314568	20.3
	"1999"	"1999"	"40 years"	"40"	64	319109	20.1
	"1999"	"1999"	"41 years"	"41"	71	293446	24.2
	"1999"	"1999"	"42 years"	"42"	87	296917	29.3
	"1999"	"1999"	"43 years"	"43"	93	282575	32.9
	"1999"	"1999"	"44 years"	"44"	88	276072	31.9
	"1999"	"1999"	"45 years"	"45"	101	269864	37.4
	"1999"	"1999"	"46 years"	"46"	105	247404	42.4
	"1999"	"1999"	"47 years"	"47"	82	245751	33.4
	"1999"	"1999"	"48 years"	"48"	137	231361	59.2
	"1999"	"1999"	"49 years"	"49"	127	234961	54.1
	"1999"	"1999"	"50 years"	"50"	143	228338	62.6
	"1999"	"1999"	"51 years"	"51"	136	204425	66.5
	"1999"	"1999"	"52 years"	"52"	120	200275	59.9
	"1999"	"1999"	"53 years"	"53"	99	157940	62.7
	"1999"	"1999"	"54 years"	"54"	108	166611	64.8
	"1999"	"1999"	"55 years"	"55"	117	158149	74.0
	"1999"	"1999"	"56 years"	"56"	122	151639	80.5
	"1999"	"1999"	"57 years"	"57"	117	148327	78.9
	"1999"	"1999"	"58 years"	"58"	106	130459	81.3
	"1999"	"1999"	"59 years"	"59"	113	133576	84.6
	"1999"	"1999"	"60 years"	"60"	125	132453	94.4
	"1999"	"1999"	"61 years"	"61"	88	121317	72.5
	"1999"	"1999"	"62 years"	"62"	98	116061	84.4
	"1999"	"1999"	"63 years"	"63"	107	115321	92.8
	"1999"	"1999"	"64 years"	"64"	94	115841	81.1
	"1999"	"1999"	"65 years"	"65"	110	111225	98.9
	"1999"	"1999"	"66 years"	"66"	106	108201	98.0
	"1999"	"1999"	"67 years"	"67"	105	107624	97.6
