"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	0	368982	Unreliable
	"1999"	"1999"	"1 year"	"1"	0	350599	Unreliable
	"1999"	"1999"	"2 years"	"2"	0	351728	Unreliable
	"1999"	"1999"	"3 years"	"3"	0	340428	Unreliable
	"1999"	"1999"	"4 years"	"4"	0	353622	Unreliable
	"1999"	"1999"	"5 years"	"5"	0	350965	Unreliable
	"1999"	"1999"	"6 years"	"6"	0	346266	Unreliable
	"1999"	"1999"	"7 years"	"7"	0	353404	Unreliable
	"1999"	"1999"	"8 years"	"8"	0	333863	Unreliable
	"1999"	"1999"	"9 years"	"9"	0	324489	Unreliable
	"1999"	"1999"	"10 years"	"10"	0	311407	Unreliable
	"1999"	"1999"	"11 years"	"11"	0	301413	Unreliable
	"1999"	"1999"	"12 years"	"12"	0	290277	Unreliable
	"1999"	"1999"	"13 years"	"13"	0	288232	Unreliable
	"1999"	"1999"	"14 years"	"14"	0	280134	Unreliable
	"1999"	"1999"	"15 years"	"15"	0	278118	Unreliable
	"1999"	"1999"	"16 years"	"16"	0	283977	Unreliable
	"1999"	"1999"	"17 years"	"17"	1	284780	Unreliable
	"1999"	"1999"	"18 years"	"18"	0	293189	Unreliable
	"1999"	"1999"	"19 years"	"19"	0	297032	Unreliable
	"1999"	"1999"	"20 years"	"20"	0	294336	Unreliable
	"1999"	"1999"	"21 years"	"21"	0	291134	Unreliable
	"1999"	"1999"	"22 years"	"22"	0	292072	Unreliable
	"1999"	"1999"	"23 years"	"23"	1	294238	Unreliable
	"1999"	"1999"	"24 years"	"24"	0	300191	Unreliable
	"1999"	"1999"	"25 years"	"25"	1	298151	Unreliable
	"1999"	"1999"	"26 years"	"26"	4	298049	Unreliable
	"1999"	"1999"	"27 years"	"27"	0	298725	Unreliable
	"1999"	"1999"	"28 years"	"28"	4	306633	Unreliable
	"1999"	"1999"	"29 years"	"29"	4	300686	Unreliable
	"1999"	"1999"	"30 years"	"30"	6	303272	Unreliable
	"1999"	"1999"	"31 years"	"31"	5	280591	Unreliable
	"1999"	"1999"	"32 years"	"32"	8	284158	Unreliable
	"1999"	"1999"	"33 years"	"33"	8	275621	Unreliable
	"1999"	"1999"	"34 years"	"34"	7	279638	Unreliable
	"1999"	"1999"	"35 years"	"35"	10	282093	Unreliable
	"1999"	"1999"	"36 years"	"36"	16	271692	Unreliable
	"1999"	"1999"	"37 years"	"37"	14	255131	Unreliable
	"1999"	"1999"	"38 years"	"38"	18	253656	Unreliable
	"1999"	"1999"	"39 years"	"39"	16	243253	Unreliable
	"1999"	"1999"	"40 years"	"40"	22	240585	9.1
	"1999"	"1999"	"41 years"	"41"	26	220913	11.8
	"1999"	"1999"	"42 years"	"42"	27	213521	12.6
	"1999"	"1999"	"43 years"	"43"	21	208167	10.1
	"1999"	"1999"	"44 years"	"44"	27	195647	13.8
	"1999"	"1999"	"45 years"	"45"	32	189347	16.9
	"1999"	"1999"	"46 years"	"46"	29	176900	16.4
	"1999"	"1999"	"47 years"	"47"	17	164432	Unreliable
	"1999"	"1999"	"48 years"	"48"	44	158717	27.7
	"1999"	"1999"	"49 years"	"49"	37	154444	24.0
	"1999"	"1999"	"50 years"	"50"	43	152018	28.3
	"1999"	"1999"	"51 years"	"51"	37	137558	26.9
	"1999"	"1999"	"52 years"	"52"	39	137540	28.4
	"1999"	"1999"	"53 years"	"53"	36	114310	31.5
	"1999"	"1999"	"54 years"	"54"	45	116846	38.5
	"1999"	"1999"	"55 years"	"55"	25	106194	23.5
	"1999"	"1999"	"56 years"	"56"	33	105406	31.3
