"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	0	280072	Unreliable
	"1999"	"1999"	"1 year"	"1"	0	284008	Unreliable
	"1999"	"1999"	"2 years"	"2"	0	282877	Unreliable
	"1999"	"1999"	"3 years"	"3"	0	284698	Unreliable
	"1999"	"1999"	"4 years"	"4"	1	305860	Unreliable
	"1999"	"1999"	"5 years"	"5"	0	315505	Unreliable
	"1999"	"1999"	"6 years"	"6"	0	322010	Unreliable
	"1999"	"1999"	"7 years"	"7"	0	329774	Unreliable
	"1999"	"1999"	"8 years"	"8"	0	330737	Unreliable
	"1999"	"1999"	"9 years"	"9"	0	337339	Unreliable
	"1999"	"1999"	"10 years"	"10"	0	329927	Unreliable
	"1999"	"1999"	"11 years"	"11"	0	309598	Unreliable
	"1999"	"1999"	"12 years"	"12"	0	301780	Unreliable
	"1999"	"1999"	"13 years"	"13"	0	294341	Unreliable
	"1999"	"1999"	"14 years"	"14"	0	296423	Unreliable
	"1999"	"1999"	"15 years"	"15"	0	288170	Unreliable
	"1999"	"1999"	"16 years"	"16"	0	290319	Unreliable
	"1999"	"1999"	"17 years"	"17"	0	292924	Unreliable
	"1999"	"1999"	"18 years"	"18"	0	289691	Unreliable
	"1999"	"1999"	"19 years"	"19"	0	306651	Unreliable
	"1999"	"1999"	"20 years"	"20"	0	289498	Unreliable
	"1999"	"1999"	"21 years"	"21"	0	269980	Unreliable
	"1999"	"1999"	"22 years"	"22"	1	266021	Unreliable
	"1999"	"1999"	"23 years"	"23"	3	250680	Unreliable
	"1999"	"1999"	"24 years"	"24"	1	255494	Unreliable
	"1999"	"1999"	"25 years"	"25"	2	258333	Unreliable
	"1999"	"1999"	"26 years"	"26"	3	260004	Unreliable
	"1999"	"1999"	"27 years"	"27"	5	274886	Unreliable
	"1999"	"1999"	"28 years"	"28"	9	283813	Unreliable
	"1999"	"1999"	"29 years"	"29"	5	281140	Unreliable
	"1999"	"1999"	"30 years"	"30"	8	276946	Unreliable
	"1999"	"1999"	"31 years"	"31"	24	267952	9.0
	"1999"	"1999"	"32 years"	"32"	15	272561	Unreliable
	"1999"	"1999"	"33 years"	"33"	19	279654	Unreliable
	"1999"	"1999"	"34 years"	"34"	33	296727	11.1
	"1999"	"1999"	"35 years"	"35"	39	309142	12.6
	"1999"	"1999"	"36 years"	"36"	33	300226	11.0
	"1999"	"1999"	"37 years"	"37"	56	301874	18.6
	"1999"	"1999"	"38 years"	"38"	62	292211	21.2
	"1999"	"1999"	"39 years"	"39"	63	303875	20.7
	"1999"	"1999"	"40 years"	"40"	64	308263	20.8
	"1999"	"1999"	"41 years"	"41"	71	283803	25.0
	"1999"	"1999"	"42 years"	"42"	86	287651	29.9
	"1999"	"1999"	"43 years"	"43"	93	273522	34.0
	"1999"	"1999"	"44 years"	"44"	87	267457	32.5
	"1999"	"1999"	"45 years"	"45"	100	261358	38.3
	"1999"	"1999"	"46 years"	"46"	100	239839	41.7
	"1999"	"1999"	"47 years"	"47"	81	238662	33.9
	"1999"	"1999"	"48 years"	"48"	136	224588	60.6
	"1999"	"1999"	"49 years"	"49"	127	228277	55.6
	"1999"	"1999"	"50 years"	"50"	141	221793	63.6
	"1999"	"1999"	"51 years"	"51"	134	198800	67.4
	"1999"	"1999"	"52 years"	"52"	120	194698	61.6
	"1999"	"1999"	"53 years"	"53"	95	153091	62.1
	"1999"	"1999"	"54 years"	"54"	107	162019	66.0
	"1999"	"1999"	"55 years"	"55"	117	153923	76.0
	"1999"	"1999"	"56 years"	"56"	119	147529	80.7
	"1999"	"1999"	"57 years"	"57"	116	144668	80.2
	"1999"	"1999"	"58 years"	"58"	106	127230	83.3
	"1999"	"1999"	"59 years"	"59"	112	130224	86.0
	"1999"	"1999"	"60 years"	"60"	125	128992	96.9
	"1999"	"1999"	"61 years"	"61"	88	118235	74.4
	"1999"	"1999"	"62 years"	"62"	98	113035	86.7
	"1999"	"1999"	"63 years"	"63"	106	112502	94.2
	"1999"	"1999"	"64 years"	"64"	92	113091	81.4
	"1999"	"1999"	"65 years"	"65"	110	108528	101.4
	"1999"	"1999"	"66 years"	"66"	106	105691	100.3
	"1999"	"1999"	"67 years"	"67"	105	105244	99.8
	"1999"	"1999"	"68 years"	"68"	94	94805	99.2
	"1999"	"1999"	"69 years"	"69"	101	93693	107.8
	"1999"	"1999"	"70 years"	"70"	77	96398	79.9
	"1999"	"1999"	"71 years"	"71"	100	88833	112.6
	"1999"	"1999"	"72 years"	"72"	117	86714	134.9
	"1999"	"1999"	"73 years"	"73"	99	82689	119.7
	"1999"	"1999"	"74 years"	"74"	112	80621	138.9
	"1999"	"1999"	"75 years"	"75"	88	79329	110.9
	"1999"	"1999"	"76 years"	"76"	89	71886	123.8
	"1999"	"1999"	"77 years"	"77"	102	69958	145.8
	"1999"	"1999"	"78 years"	"78"	97	64007	151.5
	"1999"	"1999"	"79 years"	"79"	108	58210	185.5
	"1999"	"1999"	"80 years"	"80"	75	58400	128.4
	"1999"	"1999"	"81 years"	"81"	78	47678	163.6
