"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	0	1112288	Unreliable
	"1999"	"1999"	"1 year"	"1"	0	1119140	Unreliable
	"1999"	"1999"	"2 years"	"2"	0	1120145	Unreliable
	"1999"	"1999"	"3 years"	"3"	0	1145874	Unreliable
	"1999"	"1999"	"4 years"	"4"	0	1169805	Unreliable
	"1999"	"1999"	"5 years"	"5"	0	1186535	Unreliable
	"1999"	"1999"	"6 years"	"6"	0	1206171	Unreliable
	"1999"	"1999"	"7 years"	"7"	0	1251626	Unreliable
	"1999"	"1999"	"8 years"	"8"	0	1272396	Unreliable
	"1999"	"1999"	"9 years"	"9"	0	1305083	Unreliable
	"1999"	"1999"	"10 years"	"10"	1	1279960	Unreliable
	"1999"	"1999"	"11 years"	"11"	0	1261356	Unreliable
	"1999"	"1999"	"12 years"	"12"	0	1269352	Unreliable
	"1999"	"1999"	"13 years"	"13"	0	1271655	Unreliable
	"1999"	"1999"	"14 years"	"14"	0	1281157	Unreliable
	"1999"	"1999"	"15 years"	"15"	1	1247271	Unreliable
	"1999"	"1999"	"16 years"	"16"	0	1272166	Unreliable
	"1999"	"1999"	"17 years"	"17"	1	1269838	Unreliable
	"1999"	"1999"	"18 years"	"18"	0	1255805	Unreliable
	"1999"	"1999"	"19 years"	"19"	0	1300337	Unreliable
	"1999"	"1999"	"20 years"	"20"	0	1226200	Unreliable
	"1999"	"1999"	"21 years"	"21"	0	1175490	Unreliable
	"1999"	"1999"	"22 years"	"22"	0	1146234	Unreliable
	"1999"	"1999"	"23 years"	"23"	2	1093448	Unreliable
	"1999"	"1999"	"24 years"	"24"	2	1125756	Unreliable
	"1999"	"1999"	"25 years"	"25"	3	1123909	Unreliable
	"1999"	"1999"	"26 years"	"26"	4	1136140	Unreliable
	"1999"	"1999"	"27 years"	"27"	7	1248002	Unreliable
	"1999"	"1999"	"28 years"	"28"	14	1342865	Unreliable
	"1999"	"1999"	"29 years"	"29"	18	1362862	Unreliable
	"1999"	"1999"	"30 years"	"30"	25	1357139	1.8
	"1999"	"1999"	"31 years"	"31"	36	1289369	2.8
	"1999"	"1999"	"32 years"	"32"	44	1340150	3.3
	"1999"	"1999"	"33 years"	"33"	40	1367284	2.9
	"1999"	"1999"	"34 years"	"34"	64	1480734	4.3
	"1999"	"1999"	"35 years"	"35"	74	1578829	4.7
	"1999"	"1999"	"36 years"	"36"	119	1587027	7.5
	"1999"	"1999"	"37 years"	"37"	133	1624798	8.2
	"1999"	"1999"	"38 years"	"38"	152	1615867	9.4
	"1999"	"1999"	"39 years"	"39"	149	1659066	9.0
	"1999"	"1999"	"40 years"	"40"	175	1672820	10.5
	"1999"	"1999"	"41 years"	"41"	213	1633997	13.0
	"1999"	"1999"	"42 years"	"42"	221	1657792	13.3
	"1999"	"1999"	"43 years"	"43"	256	1586599	16.1
	"1999"	"1999"	"44 years"	"44"	302	1582310	19.1
	"1999"	"1999"	"45 years"	"45"	335	1586160	21.1
	"1999"	"1999"	"46 years"	"46"	341	1514128	22.5
	"1999"	"1999"	"47 years"	"47"	358	1501724	23.8
	"1999"	"1999"	"48 years"	"48"	376	1413387	26.6
	"1999"	"1999"	"49 years"	"49"	402	1440339	27.9
	"1999"	"1999"	"50 years"	"50"	456	1444564	31.6
	"1999"	"1999"	"51 years"	"51"	593	1416582	41.9
	"1999"	"1999"	"52 years"	"52"	586	1560321	37.6
	"1999"	"1999"	"53 years"	"53"	515	1091656	47.2
	"1999"	"1999"	"54 years"	"54"	480	1143606	42.0
	"1999"	"1999"	"55 years"	"55"	545	1145179	47.6
	"1999"	"1999"	"56 years"	"56"	590	1199591	49.2
	"1999"	"1999"	"57 years"	"57"	571	1035978	55.1
	"1999"	"1999"	"58 years"	"58"	559	983354	56.8
	"1999"	"1999"	"59 years"	"59"	547	939970	58.2
	"1999"	"1999"	"60 years"	"60"	577	940527	61.3
	"1999"	"1999"	"61 years"	"61"	604	896723	67.4
	"1999"	"1999"	"62 years"	"62"	576	857240	67.2
	"1999"	"1999"	"63 years"	"63"	561	854355	65.7
	"1999"	"1999"	"64 years"	"64"	598	868866	68.8
	"1999"	"1999"	"65 years"	"65"	612	800414	76.5
	"1999"	"1999"	"66 years"	"66"	624	809879	77.0
	"1999"	"1999"	"67 years"	"67"	693	831333	83.4
	"1999"	"1999"	"68 years"	"68"	747	845511	88.3
	"1999"	"1999"	"69 years"	"69"	682	841771	81.0
	"1999"	"1999"	"70 years"	"70"	802	845253	94.9
	"1999"	"1999"	"71 years"	"71"	786	839480	93.6
	"1999"	"1999"	"72 years"	"72"	833	817817	101.9
	"1999"	"1999"	"73 years"	"73"	856	810049	105.7
	"1999"	"1999"	"74 years"	"74"	909	826028	110.0
	"1999"	"1999"	"75 years"	"75"	910	799192	113.9
	"1999"	"1999"	"76 years"	"76"	861	766150	112.4
	"1999"	"1999"	"77 years"	"77"	909	757152	120.1
	"1999"	"1999"	"78 years"	"78"	870	721330	120.6
	"1999"	"1999"	"79 years"	"79"	876	659335	132.9
	"1999"	"1999"	"80 years"	"80"	794	628139	126.4
	"1999"	"1999"	"81 years"	"81"	817	570935	143.1
	"1999"	"1999"	"82 years"	"82"	818	533893	153.2
	"1999"	"1999"	"83 years"	"83"	789	494414	159.6
	"1999"	"1999"	"84 years"	"84"	760	458722	165.7
	"1999"	"1999"	"85 years"	"85"	708	Not Applicable	Not Applicable
	"1999"	"1999"	"86 years"	"86"	689	Not Applicable	Not Applicable
	"1999"	"1999"	"87 years"	"87"	603	Not Applicable	Not Applicable
	"1999"	"1999"	"88 years"	"88"	560	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	494	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	427	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	410	Not Applicable	Not Applicable
	"1999"	"1999"	"92 years"	"92"	340	Not Applicable	Not Applicable
	"1999"	"1999"	"93 years"	"93"	259	Not Applicable	Not Applicable
	"1999"	"1999"	"94 years"	"94"	187	Not Applicable	Not Applicable
	"1999"	"1999"	"95 years"	"95"	165	Not Applicable	Not Applicable
	"1999"	"1999"	"96 years"	"96"	132	Not Applicable	Not Applicable
	"1999"	"1999"	"97 years"	"97"	109	Not Applicable	Not Applicable
	"1999"	"1999"	"98 years"	"98"	82	Not Applicable	Not Applicable
	"1999"	"1999"	"99 years"	"99"	48	Not Applicable	Not Applicable
	"1999"	"1999"	"100+ years"	"100"	104	Not Applicable	Not Applicable
	"1999"	"1999"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			33491	100698584	33.3
	"2000"	"2000"	"< 1 year"	"0"	0	1102471	Unreliable
	"2000"	"2000"	"1 year"	"1"	0	1118927	Unreliable
	"2000"	"2000"	"2 years"	"2"	0	1110572	Unreliable
	"2000"	"2000"	"3 years"	"3"	0	1129387	Unreliable
	"2000"	"2000"	"4 years"	"4"	0	1158327	Unreliable
	"2000"	"2000"	"5 years"	"5"	0	1171363	Unreliable
	"2000"	"2000"	"6 years"	"6"	0	1189037	Unreliable
