"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	0	1452001	Unreliable
	"1999"	"1999"	"1 year"	"1"	0	1440434	Unreliable
	"1999"	"1999"	"2 years"	"2"	0	1443326	Unreliable
	"1999"	"1999"	"3 years"	"3"	0	1458749	Unreliable
	"1999"	"1999"	"4 years"	"4"	0	1495465	Unreliable
	"1999"	"1999"	"5 years"	"5"	0	1508908	Unreliable
	"1999"	"1999"	"6 years"	"6"	0	1524752	Unreliable
	"1999"	"1999"	"7 years"	"7"	0	1577378	Unreliable
	"1999"	"1999"	"8 years"	"8"	0	1580404	Unreliable
	"1999"	"1999"	"9 years"	"9"	0	1599629	Unreliable
	"1999"	"1999"	"10 years"	"10"	1	1564876	Unreliable
	"1999"	"1999"	"11 years"	"11"	0	1539117	Unreliable
	"1999"	"1999"	"12 years"	"12"	0	1536480	Unreliable
	"1999"	"1999"	"13 years"	"13"	0	1537269	Unreliable
	"1999"	"1999"	"14 years"	"14"	0	1539481	Unreliable
	"1999"	"1999"	"15 years"	"15"	1	1503316	Unreliable
	"1999"	"1999"	"16 years"	"16"	0	1534524	Unreliable
	"1999"	"1999"	"17 years"	"17"	2	1533285	Unreliable
	"1999"	"1999"	"18 years"	"18"	0	1526999	Unreliable
	"1999"	"1999"	"19 years"	"19"	0	1574101	Unreliable
	"1999"	"1999"	"20 years"	"20"	0	1496919	Unreliable
	"1999"	"1999"	"21 years"	"21"	0	1444242	Unreliable
	"1999"	"1999"	"22 years"	"22"	0	1416352	Unreliable
	"1999"	"1999"	"23 years"	"23"	3	1366018	Unreliable
	"1999"	"1999"	"24 years"	"24"	2	1404054	Unreliable
	"1999"	"1999"	"25 years"	"25"	4	1399869	Unreliable
	"1999"	"1999"	"26 years"	"26"	8	1413192	Unreliable
	"1999"	"1999"	"27 years"	"27"	7	1524806	Unreliable
	"1999"	"1999"	"28 years"	"28"	17	1627385	Unreliable
	"1999"	"1999"	"29 years"	"29"	23	1641026	1.4
	"1999"	"1999"	"30 years"	"30"	31	1637906	1.9
	"1999"	"1999"	"31 years"	"31"	41	1549749	2.6
	"1999"	"1999"	"32 years"	"32"	52	1604172	3.2
	"1999"	"1999"	"33 years"	"33"	47	1623174	2.9
	"1999"	"1999"	"34 years"	"34"	72	1740145	4.1
	"1999"	"1999"	"35 years"	"35"	84	1840105	4.6
	"1999"	"1999"	"36 years"	"36"	135	1839223	7.3
	"1999"	"1999"	"37 years"	"37"	147	1861714	7.9
	"1999"	"1999"	"38 years"	"38"	170	1851901	9.2
	"1999"	"1999"	"39 years"	"39"	164	1884791	8.7
	"1999"	"1999"	"40 years"	"40"	197	1895608	10.4
	"1999"	"1999"	"41 years"	"41"	239	1839018	13.0
	"1999"	"1999"	"42 years"	"42"	248	1856198	13.4
	"1999"	"1999"	"43 years"	"43"	279	1780214	15.7
	"1999"	"1999"	"44 years"	"44"	330	1764007	18.7
	"1999"	"1999"	"45 years"	"45"	367	1761422	20.8
	"1999"	"1999"	"46 years"	"46"	368	1678799	21.9
	"1999"	"1999"	"47 years"	"47"	374	1654767	22.6
	"1999"	"1999"	"48 years"	"48"	420	1561392	26.9
	"1999"	"1999"	"49 years"	"49"	440	1584148	27.8
	"1999"	"1999"	"50 years"	"50"	498	1586053	31.4
	"1999"	"1999"	"51 years"	"51"	630	1545100	40.8
	"1999"	"1999"	"52 years"	"52"	625	1689214	37.0
	"1999"	"1999"	"53 years"	"53"	549	1198308	45.8
	"1999"	"1999"	"54 years"	"54"	525	1253268	41.9
	"1999"	"1999"	"55 years"	"55"	571	1244619	45.9
	"1999"	"1999"	"56 years"	"56"	624	1298803	48.0
	"1999"	"1999"	"57 years"	"57"	602	1122033	53.7
	"1999"	"1999"	"58 years"	"58"	592	1068262	55.4
	"1999"	"1999"	"59 years"	"59"	588	1020800	57.6
	"1999"	"1999"	"60 years"	"60"	606	1021750	59.3
	"1999"	"1999"	"61 years"	"61"	636	970583	65.5
	"1999"	"1999"	"62 years"	"62"	612	928432	65.9
	"1999"	"1999"	"63 years"	"63"	597	925418	64.5
	"1999"	"1999"	"64 years"	"64"	629	938506	67.0
	"1999"	"1999"	"65 years"	"65"	640	863940	74.1
	"1999"	"1999"	"66 years"	"66"	658	871797	75.5
	"1999"	"1999"	"67 years"	"67"	725	890624	81.4
	"1999"	"1999"	"68 years"	"68"	770	906036	85.0
	"1999"	"1999"	"69 years"	"69"	717	898927	79.8
	"1999"	"1999"	"70 years"	"70"	821	901989	91.0
	"1999"	"1999"	"71 years"	"71"	829	891607	93.0
	"1999"	"1999"	"72 years"	"72"	856	865836	98.9
	"1999"	"1999"	"73 years"	"73"	886	856789	103.4
	"1999"	"1999"	"74 years"	"74"	935	870028	107.5
	"1999"	"1999"	"75 years"	"75"	944	840086	112.4
	"1999"	"1999"	"76 years"	"76"	885	803589	110.1
	"1999"	"1999"	"77 years"	"77"	929	790977	117.4
	"1999"	"1999"	"78 years"	"78"	895	753910	118.7
	"1999"	"1999"	"79 years"	"79"	896	687317	130.4
	"1999"	"1999"	"80 years"	"80"	808	653960	123.6
	"1999"	"1999"	"81 years"	"81"	844	592356	142.5
	"1999"	"1999"	"82 years"	"82"	838	553884	151.3
	"1999"	"1999"	"83 years"	"83"	814	512296	158.9
	"1999"	"1999"	"84 years"	"84"	775	475272	163.1
	"1999"	"1999"	"85 years"	"85"	720	Not Applicable	Not Applicable
	"1999"	"1999"	"86 years"	"86"	707	Not Applicable	Not Applicable
	"1999"	"1999"	"87 years"	"87"	616	Not Applicable	Not Applicable
	"1999"	"1999"	"88 years"	"88"	575	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	506	Not Applicable	Not Applicable
