Age,Period,Race,BC_All,BC_All_LCL,BC_All_UCL
30,1978,Asian,3.865147910439982,3.4346086835681913,4.347226988217512
30,1978,Hispanic,4.521638416444207,4.230106987391876,4.832247901211925
30,1978,Non-Hispanic Black,3.3954257940777652,3.2462269115632747,3.5512302742558988
30,1978,Non-Hispanic White,5.6556202581946,5.504455676592205,5.810680884077966
40,1978,Asian,9.770648521987466,8.985933130351388,10.61589783345854
40,1978,Hispanic,9.508106148868553,9.02814347692004,10.01077717734081
40,1978,Non-Hispanic Black,7.0455076972278805,6.795519115573059,7.303971999861892
40,1978,Non-Hispanic White,12.547949854549135,12.314148899152345,12.785542582225522
50,1978,Asian,9.884033466817014,9.128235428872657,10.695044843590349
50,1978,Hispanic,9.001120028394768,8.557208781604734,9.465675725665248
50,1978,Non-Hispanic Black,6.958505529993107,6.725250796081321,7.199225920856277
50,1978,Non-Hispanic White,12.704031418499776,12.505405371355257,12.905346953754998
60,1978,Asian,5.742002733913551,5.280686549947952,6.240963758627742
60,1978,Hispanic,5.536188727418235,5.252110235243731,5.8346863671729565
60,1978,Non-Hispanic Black,4.768702013454817,4.607416799059677,4.93534100566636
60,1978,Non-Hispanic White,8.540690541808225,8.408235285254285,8.675034743219108
70,1978,Asian,2.3085555058501326,2.1136308011117695,2.5209937185478672
70,1978,Hispanic,2.6982506629090244,2.554522620068797,2.8498289422713987
70,1978,Non-Hispanic Black,2.84009018600882,2.7400885473842482,2.9436310028366948
70,1978,Non-Hispanic White,4.7315787079181595,4.6383390317852955,4.826597818627667
80,1978,Asian,0.8544174186232754,0.7795810827586521,0.9363699147839734
80,1978,Hispanic,1.2424479964293762,1.174120321794656,1.3146990874583426
80,1978,Non-Hispanic Black,1.7572935233137736,1.687486126872237,1.8299349388531343
80,1978,Non-Hispanic White,2.356503289628412,2.273433466447588,2.442532568334204
30,1998,Asian,3.9223864885230566,3.578332090368097,4.298046916455237
30,1998,Hispanic,3.905432897546425,3.7192755884525703,4.100510932346172
30,1998,Non-Hispanic Black,3.5867207627214506,3.4666627283160336,3.7107768367116845
30,1998,Non-Hispanic White,3.2847694040937054,3.2071187659196503,3.364234770748045
40,1998,Asian,11.392043067929398,10.888260576712652,11.91601786628365
40,1998,Hispanic,9.537018395528222,9.277764490138212,9.80273399995189
40,1998,Non-Hispanic Black,7.97795191321051,7.804456604649414,8.154962922639825
40,1998,Non-Hispanic White,9.050015043142235,8.91876968974113,9.182997031620655
50,1998,Asian,14.181210578702725,13.679140776312382,14.698570181819528
50,1998,Hispanic,11.184661964005613,10.924155535807618,11.450582066786625
50,1998,Non-Hispanic Black,9.520830095801662,9.344391312488705,9.700243886495645
50,1998,Non-Hispanic White,11.998869542777763,11.864756572635002,12.134289743392426
60,1998,Asian,8.244479646469976,7.937113657033105,8.562641370133813
60,1998,Hispanic,6.807285777725307,6.6429873573915845,6.975344112758101
60,1998,Non-Hispanic Black,6.341112890275398,6.223351314586158,6.460949286448087
60,1998,Non-Hispanic White,8.366399740594513,8.276960576475496,8.456716260060142
70,1998,Asian,3.6097888103363007,3.4618254251357414,3.7638297962962195
70,1998,Hispanic,3.5805355326786867,3.4892444720378815,3.674124163386172
70,1998,Non-Hispanic Black,3.8269659290493765,3.7537938223478244,3.9015065491571743
70,1998,Non-Hispanic White,4.95025772435567,4.89837426425321,5.0026618247250365
80,1998,Asian,1.5297955827220304,1.460680144255369,1.602128205059191
80,1998,Hispanic,1.8804327660894566,1.82906076456601,1.93321921637285
80,1998,Non-Hispanic Black,2.400683452136292,2.3502015029821863,2.452222514912147
80,1998,Non-Hispanic White,2.6726371136287366,2.642912351970885,2.7026869081229914
30,2018,Asian,3.737644257637466,3.384482908001887,4.126083224931896
30,2018,Hispanic,3.163634353439246,2.9682340694164457,3.3714509865427624
30,2018,Non-Hispanic Black,3.110977096709179,2.889694374551181,3.3486205678348617
30,2018,Non-Hispanic White,1.7079417417814708,1.6006322552384682,1.8223122301165289
40,2018,Asian,11.888277460705687,11.365994779745769,12.431193713649188
40,2018,Hispanic,8.551320065796004,8.29103119420683,8.818994657505447
40,2018,Non-Hispanic Black,7.839896461388575,7.56447276165413,8.124466969491058
40,2018,Non-Hispanic White,5.399586022765597,5.243292796217398,5.560264695401632
50,2018,Asian,13.935266008735791,13.475784808759139,14.407805244544953
50,2018,Hispanic,9.44383861713149,9.22504550821803,9.667268273765083
50,2018,Non-Hispanic Black,8.621739788497578,8.4091472154165,8.839188251764993
50,2018,Non-Hispanic White,6.963092194823189,6.841025672985629,7.087171087998584
60,2018,Asian,9.3335564322,9.040288965516023,9.635329737895981
60,2018,Hispanic,6.605232870313664,6.4615934812539635,6.751834839003745
60,2018,Non-Hispanic Black,6.1565807931281284,6.021245130993087,6.294754562912565
60,2018,Non-Hispanic White,5.779899715720434,5.700242845023238,5.8606005543108095
70,2018,Asian,5.1634419052711005,4.988502968614137,5.344170604968001
70,2018,Hispanic,4.363140057479532,4.264812876999451,4.463628518123499
70,2018,Non-Hispanic Black,4.5281935930341515,4.426730567475679,4.631869497860986
70,2018,Non-Hispanic White,4.514086462661035,4.455482904836523,4.573423944042718
80,2018,Asian,2.163376309798288,2.08061623767549,2.2493526851061088
80,2018,Hispanic,2.2530366116938683,2.198077611069397,2.30933731686051
80,2018,Non-Hispanic Black,2.7401809915691815,2.6731328032713435,2.8088623647844644
80,2018,Non-Hispanic White,2.5352477425587017,2.5006191443021115,2.5703432361048137
