Period,Race,Age,BC_All,BC_All_LCL,BC_All_UCL
1978,Asian,43,10.286896529617408,9.474837217844541,11.159974756127637
1978,Hispanic,42,9.710759464554155,9.213956110279275,10.231330935052348
1978,Non-Hispanic Black,42,7.227834925172033,6.960435899045707,7.504678013058093
1978,Non-Hispanic White,43,13.02796875822212,12.750365332040042,13.310694149577568
1998,Asian,49,14.320930695598266,13.809204181395824,14.848353400668051
1998,Hispanic,49,11.309842202333694,11.044346967701664,11.58088879458151
1998,Non-Hispanic Black,49,9.570278183881587,9.390377096523011,9.753254832985691
1998,Non-Hispanic White,50,11.998869542777763,11.864756572635002,12.134289743392426
2018,Asian,49,14.114198422308629,13.642609872042222,14.599332633791718
2018,Hispanic,49,9.581153187864105,9.356680161128915,9.810428620348981
2018,Non-Hispanic Black,49,8.74248392497052,8.522945555117465,8.967122941146101
2018,Non-Hispanic White,50,6.963092194823189,6.841025672985629,7.087171087998584
