Period,Asian,Hispanic,Non-Hispanic Black,Non-Hispanic White
1968,15.470452079195562,22.761430883470126,44.249379321440486,46.692277804748436
1969,15.731531621651051,22.999310934679638,44.346829042364476,46.838406460230274
1970,16.120315550942134,23.423582692174897,44.801407686124804,47.36218910591702
1971,16.280151955078487,23.51619551672782,44.63351887372396,47.213149385100266
1972,16.77145502881227,24.08808755669477,45.39297644697501,48.01951466396241
1973,17.07773302593858,24.393807876239425,45.662812641358286,48.283998060111664
1974,17.045581230532406,24.219098466360737,45.05734672308533,47.59332714318299
1975,16.97233393126196,23.991608715851605,44.39711408986023,46.801935316232
1976,17.316591270872323,24.356870687622973,44.89156134076503,47.16174518199588
1977,17.61252305058939,24.653439385128234,45.32241208486154,47.37552850552452
1978,18.08018940712613,25.18813262403065,46.255825150578794,48.031517762367294
1979,18.23571128309461,25.28681298447022,46.4595430854469,47.84130983902271
1980,19.04467690240095,26.288990338123508,48.38960744148302,49.338758504664035
1981,19.072827368767935,26.211698967099736,48.38484130734094,48.789655582577616
1982,19.186923697670995,26.255116746571808,48.66600346937006,48.458188980554276
1983,19.635237569008662,26.756122491379795,49.87734877630856,48.955258367306385
1984,20.019905423000868,27.16891805494323,51.0093839910732,49.26949866010682
1985,20.42361841964567,27.60575099422385,52.268674878920045,49.608067991527065
1986,20.712416334202207,27.886015786278406,53.30581341049079,49.64963526528818
1987,21.071203236758357,28.25943783334837,54.58214110717759,49.84241514532005
1988,21.660721544245373,28.938983449084468,56.495044797654565,50.55922808717254
1989,21.73449525358675,28.92725667648613,57.06528272650043,50.06294904772159
1990,21.616816715656363,28.66125292979575,57.10060901624637,49.142481609129355
1991,21.380304304819486,28.23925850649047,56.78085286088433,47.97932335186758
1992,21.085242105685243,27.742157834041638,56.26074508874916,46.717230678322096
1993,21.276008233144765,27.88470647558562,57.00059775779451,46.55132416031442
1994,20.983439367355416,27.394656888497153,56.401451301938344,45.346561787571375
1995,20.640432595355946,26.841929296386297,55.609439587286275,44.063930445332716
1996,20.128868302783182,26.074207678924875,54.30258143903536,42.45556279801484
1997,19.631326748237086,25.33017705859789,52.99145189238366,40.91269635401085
1998,19.424062816735006,24.964791992944015,52.44464079529637,39.99975498234956
1999,19.327143009333177,24.743743853814713,52.1817617972051,39.32815343942386
2000,19.140899871266786,24.42205800534139,51.68769020005553,38.60213037744231
2001,18.88031816607634,24.00722569806663,50.96849741883084,37.7415793859113
2002,18.75192691123599,23.760804298073733,50.58239345067524,37.15701024708175
2003,18.512322529190804,23.372516972591963,49.865884918883594,36.360763964178616
2004,18.034186636238193,22.681517631072353,48.46406669363477,35.108524708039774
2005,18.00416645410024,22.549695822697043,48.205066252871376,34.73572385155997
2006,17.669091030126143,22.028992281247728,47.05856042088933,33.77656517343558
2007,17.39899882093583,21.585128997539694,46.027046087035416,32.94735270731065
2008,17.42657421659409,21.507634985307202,45.73596544697883,32.678268638214035
2009,17.099757225927625,20.99430388534008,44.49152013229101,31.738471392824533
2010,16.965424814597455,20.722566734011888,43.740366467412,31.1509643834731
2011,16.927193672331704,20.574918564540436,43.23566910243654,30.727575361624837
2012,16.789992185003083,20.315946543311554,42.49530952564781,30.111753753671344
2013,16.7673148544828,20.204179780350273,42.07543330863708,29.688483850943644
2014,16.692116611100555,20.03722959421126,41.55521646942834,29.161676738156658
2015,16.80628681223922,20.104817857039894,41.53348699969645,28.95680412824984
2016,16.795620301127524,20.027720076221083,41.22681090273061,28.52910110518946
2017,16.844290445534185,20.023838037324865,41.07772772613728,28.20149440453913
2018,16.723454880363576,19.819435166280677,40.523262731403776,27.595214997770597
